year,real_prev,model_prev,prevalence_pct_q25,prevalence_pct_q75,real_prev_per,turnover_rate,model_view
2012,0.001753,0.4572299485616308,0.4326966069338766,0.566975376446322,0.1753,0.3834,0.16253
2013,0.00188,0.4794783275795934,0.4365157754839496,0.5704784634006916,0.188,0.39209,0.17044
2014,0.001806,0.5187319884726225,0.4567715215910772,0.592177270665442,0.1806,0.34816,0.18439
2015,0.001834,0.5213361652828732,0.4597957139708506,0.595709470106947,0.1834,0.35179,0.18532
2016,0.001881,0.5851375073142189,0.4838099087536862,0.6393781076008273,0.1881,0.32146,0.208
2017,0.002008,0.5884660651235779,0.4968184078270793,0.6341650461590695,0.2008,0.34123,0.20918
2018,0.002061,0.5939417937042171,0.4717281784055066,0.6390232107354084,0.2061,0.347,0.21113
2019,0.002161,0.6354249404289118,0.49318527193019,0.6526698392765753,0.2161,0.34009,0.22587
2020,0.002136,0.6338172152933961,0.5030736086265138,0.6581370299670513,0.2136,0.33701,0.2253
2021,0.002301,0.6424870466321244,0.4991442942194027,0.664886134999911,0.2301,0.35814,0.22838
2022,0.002263,0.6659729448491155,0.4921904525240602,0.6797836980467528,0.2263,0.3398,0.23673
2023,0.002342,0.6504406210658833,0.4952543173343019,0.6639597890794413,0.2342,0.36006,0.23121
2024,0.002462,0.6141465480728505,0.479033622003247,0.6291846622326015,0.2462,0.40088,0.21831
