run_id,year,total_agents,total_affected,prevalence_total_pct,prevalence_armenian_pct,diagnosed,on_colchicine,diagnosed_pct,undiagnosed_symptomatic,prevented_births_total,age_0_14_pct,age_15_49_pct,age_50_plus_pct,m694v_homo_absolute,m694v_homo_prevalence_pct,total_carriers_absolute,total_compound_absolute,m694v_homo_in_affected_pct,m694v_homo_count,compound_in_affected_pct,compound_count,other_homo_in_affected_pct,other_homo_count,hetero_in_affected_pct,hetero_count,total_population,total_births_cumulative,total_deaths_cumulative,prevented_fmf_births,total_children_born,children_healthy,children_carrier,children_affected,mendel_healthy_healthy_total,mendel_healthy_healthy_healthy_count,mendel_healthy_healthy_healthy_pct,mendel_healthy_healthy_carrier_count,mendel_healthy_healthy_carrier_pct,mendel_healthy_healthy_affected_count,mendel_healthy_healthy_affected_pct,mendel_carrier_healthy_total,mendel_carrier_healthy_healthy_count,mendel_carrier_healthy_healthy_pct,mendel_carrier_healthy_carrier_count,mendel_carrier_healthy_carrier_pct,mendel_carrier_healthy_affected_count,mendel_carrier_healthy_affected_pct,mendel_carrier_carrier_total,mendel_carrier_carrier_healthy_count,mendel_carrier_carrier_healthy_pct,mendel_carrier_carrier_carrier_count,mendel_carrier_carrier_carrier_pct,mendel_carrier_carrier_affected_count,mendel_carrier_carrier_affected_pct,mendel_affected_healthy_total,mendel_affected_healthy_healthy_count,mendel_affected_healthy_healthy_pct,mendel_affected_healthy_carrier_count,mendel_affected_healthy_carrier_pct,mendel_affected_healthy_affected_count,mendel_affected_healthy_affected_pct,mendel_affected_carrier_total,mendel_affected_affected_total,healthy_births,carrier_births,affected_births,pgt_attempts,pgt_births,pgt_eligible_but_declined,mean_age,population_total,arm_count,true_prevalence_genetic,clinical_prevalence,carrier_frequency_pct,diagnostic_coverage,screening_coverage_pct,scenario,cache_version,timestamp,mendel_affected_carrier_healthy_count,mendel_affected_carrier_healthy_pct,mendel_affected_carrier_carrier_count,mendel_affected_carrier_carrier_pct,mendel_affected_carrier_affected_count,mendel_affected_carrier_affected_pct,mendel_affected_affected_healthy_count,mendel_affected_affected_healthy_pct,mendel_affected_affected_carrier_count,mendel_affected_affected_carrier_pct,mendel_affected_affected_affected_count,mendel_affected_affected_affected_pct
1,1950,4151,16,0.3854492893278728,0.43184885290148445,4,4,25.0,12,0,39.72536738135389,60.27463261864611,0.0,1,0.02409058058299205,5,6,6.25,1,37.5,6,0.0,0,31.25,5,5047,94,47,0,94,0,0,0,221,221,100.0,0,0.0,0,0.0,79,33,41.77215189873418,46,58.22784810126582,0,0.0,11,1,9.090909090909092,8,72.72727272727273,2,18.181818181818183,4,0,0.0,4,100.0,0,0.0,0,0,0,0,0,0,0,0,28.42777887854171,5047,4514,0.91143253417872,0.47553001783237564,15.811373092926493,21.73913043478261,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1951,4185,16,0.38231780167264034,0.4294149221685454,4,4,25.0,12,0,39.42652329749104,60.57347670250897,0.0,1,0.02389486260454002,5,6,6.25,1,37.5,6,0.0,0,31.25,5,5096,188,92,0,188,0,0,0,380,380,100.0,0,0.0,0,0.0,136,57,41.911764705882355,79,58.08823529411765,0,0.0,19,4,21.052631578947366,13,68.42105263157895,2,10.526315789473683,7,0,0.0,7,100.0,0,0.0,0,0,0,0,0,0,0,0,28.5989010989011,5096,4549,0.9419152276295133,0.47095761381475665,15.816326530612246,20.833333333333336,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1952,4227,17,0.40217648450437665,0.45333333333333337,3,3,17.647058823529413,14,0,39.41329548142891,60.58670451857109,0.0,1,0.02365744026496333,4,8,5.88235294117647,1,47.05882352941176,8,0.0,0,23.52941176470588,4,5167,305,138,0,305,0,0,0,469,469,100.0,0,0.0,0,0.0,160,69,43.125,91,56.875,0,0.0,22,5,22.727272727272727,15,68.18181818181817,2,9.090909090909092,8,0,0.0,8,100.0,0,0.0,0,0,0,0,0,0,0,0,28.755564157151152,5167,4603,0.9483259144571318,0.5031933423650087,15.734468743952004,20.408163265306122,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1953,4288,19,0.4430970149253731,0.4997369805365597,4,4,21.052631578947366,15,0,39.365671641791046,60.634328358208954,0.0,2,0.046641791044776115,4,9,10.526315789473683,2,47.368421052631575,9,0.0,0,21.052631578947366,4,5239,423,184,0,423,0,0,0,637,637,100.0,0,0.0,0,0.0,228,99,43.42105263157895,129,56.57894736842105,0,0.0,28,8,28.57142857142857,18,64.28571428571429,2,7.142857142857142,10,0,0.0,10,100.0,0,0.0,0,0,0,0,0,0,0,0,28.812750524909333,5239,4665,0.897117770566902,0.5344531399121969,15.823630463828975,21.27659574468085,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1954,4345,21,0.48331415420023016,0.5475880052151239,4,4,19.047619047619047,17,0,39.8849252013809,60.115074798619105,0.0,3,0.06904487917146145,4,10,14.285714285714285,3,47.61904761904761,10,0.0,0,19.047619047619047,4,5320,546,226,0,546,0,0,0,814,814,100.0,0,0.0,0,0.0,310,141,45.483870967741936,169,54.516129032258064,0,0.0,34,9,26.47058823529412,23,67.64705882352942,2,5.88235294117647,14,0,0.0,14,100.0,0,0.0,0,0,0,0,0,0,0,0,28.873872180451126,5320,4724,0.8834586466165414,0.5451127819548872,15.770676691729324,21.27659574468085,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1955,4382,24,0.5476951163852123,0.6228912535686478,4,4,16.666666666666664,20,0,39.66225467822912,60.33774532177089,0.0,3,0.06846188954815154,4,12,12.5,3,50.0,12,4.166666666666666,1,16.666666666666664,4,5389,659,270,0,659,0,0,0,986,986,100.0,0,0.0,0,0.0,383,177,46.21409921671018,206,53.78590078328982,0,0.0,39,12,30.76923076923077,25,64.1025641025641,2,5.128205128205128,16,0,0.0,16,100.0,0,0.0,0,0,0,0,0,0,0,0,29.008535906476155,5389,4772,0.8721469660419373,0.5938021896455743,15.79142698088699,21.27659574468085,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1956,4450,24,0.5393258426966292,0.6144393241167435,5,5,20.833333333333336,19,0,39.57303370786517,60.42696629213483,0.0,3,0.06741573033707865,4,12,12.5,3,50.0,12,4.166666666666666,1,16.666666666666664,4,5483,789,306,0,789,0,0,0,1099,1099,100.0,0,0.0,0,0.0,421,199,47.26840855106889,222,52.73159144893111,0,0.0,40,13,32.5,25,62.5,2,5.0,17,0,0.0,17,100.0,0,0.0,0,0,0,0,0,0,0,0,29.079336129855918,5483,4846,0.857194966259347,0.583622104687215,15.812511398869233,23.404255319148938,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1957,4507,24,0.5325049922343023,0.6109979633401221,5,5,20.833333333333336,19,0,39.627246505435984,60.372753494564016,0.0,3,0.06656312402928778,4,12,12.5,3,50.0,12,4.166666666666666,1,16.666666666666664,4,5577,925,348,0,925,0,0,0,1361,1361,100.0,0,0.0,0,0.0,521,250,47.98464491362764,271,52.01535508637236,0,0.0,47,14,29.78723404255319,29,61.702127659574465,4,8.51063829787234,22,0,0.0,22,100.0,0,0.0,0,0,0,0,0,0,0,0,29.15725300340685,5577,4903,0.8427469965931504,0.5737851891698046,15.707369553523401,23.404255319148938,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1958,4591,25,0.5445436724025267,0.628140703517588,5,5,20.0,20,0,39.94772380744936,60.05227619255065,0.0,3,0.0653452406883032,5,12,12.0,3,48.0,12,4.0,1,20.0,5,5685,1080,395,0,1080,0,0,0,1474,1474,100.0,0,0.0,0,0.0,561,265,47.23707664884135,296,52.76292335115864,0,0.0,47,14,29.78723404255319,29,61.702127659574465,4,8.51063829787234,24,0,0.0,24,100.0,0,0.0,0,0,0,0,0,0,0,0,29.06948109058927,5685,4975,0.79155672823219,0.5452946350043976,15.743183817062445,20.0,0.0,ModelParams,v3,1779490803.7493436,,,,,,,,,,,,
1,1959,4644,26,0.5598621877691645,0.6225099601593626,5,5,19.230769230769234,21,0,40.07321274763135,59.926787252368655,0.0,3,0.06459948320413438,4,14,11.538461538461538,3,53.84615384615385,14,3.8461538461538463,1,15.384615384615385,4,5774,1208,434,0,1208,0,0,0,1776,1776,100.0,0,0.0,0,0.0,672,322,47.91666666666667,350,52.083333333333336,0,0.0,61,16,26.229508196721312,35,57.377049180327866,10,16.39344262295082,28,0,0.0,28,100.0,0,0.0,1,0,0,0,0,0,0,0,29.198995497055765,5774,5045,0.796674748874264,0.571527537235885,15.6390717007274,19.565217391304348,0.0,ModelParams,v3,1779490803.7493436,0.0,0.0,0.0,0.0,1.0,100.0,,,,,,
