==============================================================================================================
 Медианный анализ по годам
 Сценарий: scenario_2 | Дата: 2026-05-20 15:46
==============================================================================================================

══════════════════════════════════════════════════════════════════════════════════════════════════════════════
Динамика медианных показателей (Калибровка 1950-2125)
══════════════════════════════════════════════════════════════════════════════════════════════════════════════

🔹 Метрика: PREVALENCE TOTAL PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
1958   |       50.00% |       +0.00% |        0.00% |            [0.0 - 0.0] |      2
1959   |       55.00% |       +5.00% |        5.00% |            [0.0 - 0.0] |      2
1960   |       58.33% |       +3.33% |        8.33% |            [0.0 - 0.0] |      2
1961   |       73.33% |      +15.00% |        6.67% |            [0.0 - 0.0] |      2
1962   |       70.83% |       -2.50% |        4.17% |            [0.0 - 0.0] |      2
1963   |       70.83% |       +0.00% |        4.17% |            [0.0 - 0.0] |      2
1964   |       70.83% |       +0.00% |        4.17% |            [0.0 - 0.0] |      2
1965   |       70.83% |       +0.00% |        4.17% |            [0.0 - 0.0] |      2
1966   |       53.57% |      -17.26% |        3.57% |            [0.0 - 0.0] |      2
1967   |       58.33% |       +4.76% |        8.33% |            [0.0 - 0.0] |      2
1968   |       58.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
1969   |       58.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
1970   |       55.00% |       -3.33% |        5.00% |            [0.0 - 0.0] |      2
1971   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1972   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1973   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1974   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1975   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1976   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1977   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1978   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1979   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1980   |       55.00% |       +0.00% |        5.00% |            [0.0 - 0.0] |      2
1981   |       63.33% |       +8.33% |        3.33% |            [0.0 - 0.0] |      2
1982   |       63.33% |       +0.00% |        3.33% |            [0.0 - 0.0] |      2
1983   |       63.33% |       +0.00% |        3.33% |            [0.0 - 0.0] |      2
1984   |       58.33% |       -5.00% |        8.33% |            [0.0 - 0.0] |      2
1985   |       61.90% |       +3.57% |        4.76% |            [0.0 - 0.0] |      2
1986   |       61.90% |       +0.00% |        4.76% |            [0.0 - 0.0] |      2
1987   |       61.90% |       +0.00% |        4.76% |            [0.0 - 0.0] |      2
1988   |       61.90% |       +0.00% |        4.76% |            [0.0 - 0.0] |      2
1989   |       61.90% |       +0.00% |        4.76% |            [0.0 - 0.0] |      2
1990   |       58.33% |       -3.57% |        8.33% |            [0.0 - 0.0] |      2
1991   |       58.33% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
1992   |       57.14% |       -1.19% |       14.29% |            [0.0 - 0.0] |      2
1993   |       57.14% |       +0.00% |       14.29% |            [0.0 - 0.0] |      2
1994   |       52.68% |       -4.46% |        9.82% |            [0.0 - 0.0] |      2
1995   |       58.93% |       +6.25% |       16.07% |            [0.0 - 0.0] |      2
1996   |       59.72% |       +0.79% |       15.28% |            [0.0 - 0.0] |      2
1997   |       57.94% |       -1.79% |       13.49% |            [0.0 - 0.0] |      2
1998   |       57.94% |       +0.00% |       13.49% |            [0.0 - 0.0] |      2
1999   |       57.94% |       +0.00% |       13.49% |            [0.0 - 0.0] |      2
2000   |       55.56% |       -2.38% |       11.11% |            [0.0 - 0.0] |      2
2001   |       58.33% |       +2.78% |        8.33% |            [0.0 - 0.0] |      2
2002   |       53.57% |       -4.76% |        3.57% |            [0.0 - 0.0] |      2
2003   |       50.00% |       -3.57% |        5.56% |            [0.0 - 0.0] |      2
2004   |       46.53% |       -3.47% |        9.03% |            [0.0 - 0.0] |      2
2005   |       46.53% |       +0.00% |        9.03% |            [0.0 - 0.0] |      2
2006   |       43.75% |       -2.78% |        6.25% |            [0.0 - 0.0] |      2
2007   |       43.75% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2008   |       43.75% |       +0.00% |        6.25% |            [0.0 - 0.0] |      2
2009   |       47.32% |       +3.57% |        9.82% |            [0.0 - 0.0] |      2
2010   |       47.32% |       +0.00% |        9.82% |            [0.0 - 0.0] |      2
2011   |       39.29% |       -8.04% |       10.71% |            [0.0 - 0.0] |      2
2012   |       39.29% |       +0.00% |       10.71% |            [0.0 - 0.0] |      2
2013   |       36.51% |       -2.78% |        7.94% |            [0.0 - 0.0] |      2
2014   |       39.29% |       +2.78% |       10.71% |            [0.0 - 0.0] |      2
2015   |       39.39% |       +0.11% |        6.06% |            [0.0 - 0.0] |      2
2016   |       39.39% |       +0.00% |        6.06% |            [0.0 - 0.0] |      2
2017   |       39.39% |       +0.00% |        6.06% |            [0.0 - 0.0] |      2
2018   |       39.39% |       +0.00% |        6.06% |            [0.0 - 0.0] |      2
2019   |       32.73% |       -6.67% |       12.73% |            [0.0 - 0.0] |      2
2020   |       35.00% |       +2.27% |       15.00% |            [0.0 - 0.0] |      2
2021   |       35.00% |       +0.00% |       15.00% |            [0.0 - 0.0] |      2
2022   |       40.28% |       +5.28% |       15.28% |            [0.0 - 0.0] |      2
2023   |       37.78% |       -2.50% |       17.78% |            [0.0 - 0.0] |      2
2024   |       37.78% |       +0.00% |       17.78% |            [0.0 - 0.0] |      2
2025   |       35.00% |       -2.78% |       15.00% |            [0.0 - 0.0] |      2
2026   |       33.93% |       -1.07% |        8.93% |            [0.0 - 0.0] |      2
2027   |       21.43% |      -12.50% |       21.43% |            [0.0 - 0.0] |      2
2028   |       21.43% |       +0.00% |       21.43% |            [0.0 - 0.0] |      2
2029   |       21.43% |       +0.00% |       21.43% |            [0.0 - 0.0] |      2
2030   |       25.00% |       +3.57% |       25.00% |            [0.0 - 0.0] |      2
2031   |       41.67% |      +16.67% |        8.33% |            [0.0 - 0.0] |      2
2032   |       36.67% |       -5.00% |        3.33% |            [0.0 - 0.0] |      2
2033   |       36.67% |       +0.00% |        3.33% |            [0.0 - 0.0] |      2
2034   |       36.67% |       +0.00% |        3.33% |            [0.0 - 0.0] |      2
2035   |       36.67% |       +0.00% |        3.33% |            [0.0 - 0.0] |      2
2036   |       36.67% |       +0.00% |        3.33% |            [0.0 - 0.0] |      2
2037   |       29.17% |       -7.50% |        4.17% |            [0.0 - 0.0] |      2
2038   |       29.17% |       +0.00% |        4.17% |            [0.0 - 0.0] |      2
2039   |       33.33% |       +4.17% |        0.00% |            [0.0 - 0.0] |      2
2040   |       33.33% |       +0.00% |        0.00% |            [0.0 - 0.0] |      2
2041   |       33.33% |       +0.00% |        0.00% |            [0.0 - 0.0] |      2
2042   |       33.33% |       +0.00% |        0.00% |            [0.0 - 0.0] |      2
2043   |       33.33% |       +0.00% |        0.00% |            [0.0 - 0.0] |      2
2044   |       33.33% |       +0.00% |        0.00% |            [0.0 - 0.0] |      2
2045   |       50.00% |      +16.67% |       16.67% |            [0.0 - 0.0] |      2
2046   |       43.33% |       -6.67% |       23.33% |            [0.0 - 0.0] |      2
2047   |       43.33% |       +0.00% |       23.33% |            [0.0 - 0.0] |      2
2048   |       43.33% |       +0.00% |       23.33% |            [0.0 - 0.0] |      2
2049   |       43.33% |       +0.00% |       23.33% |            [0.0 - 0.0] |      2
2050   |       45.83% |       +2.50% |       20.83% |            [0.0 - 0.0] |      2
2051   |       45.83% |       +0.00% |       20.83% |            [0.0 - 0.0] |      2
2052   |       45.83% |       +0.00% |       20.83% |            [0.0 - 0.0] |      2
2053   |       45.83% |       +0.00% |       20.83% |            [0.0 - 0.0] |      2
2054   |       45.83% |       +0.00% |       20.83% |            [0.0 - 0.0] |      2
2055   |       45.83% |       +0.00% |       20.83% |            [0.0 - 0.0] |      2
2056   |       45.83% |       +0.00% |       20.83% |            [0.0 - 0.0] |      2
2057   |       45.83% |       +0.00% |       20.83% |            [0.0 - 0.0] |      2
2058   |       37.50% |       -8.33% |       12.50% |            [0.0 - 0.0] |      2
2059   |       62.50% |      +25.00% |       37.50% |            [0.0 - 0.0] |      2
2060   |       62.50% |       +0.00% |       37.50% |            [0.0 - 0.0] |      2
2061   |       62.50% |       +0.00% |       37.50% |            [0.0 - 0.0] |      2
2062   |       62.50% |       +0.00% |       37.50% |            [0.0 - 0.0] |      2
2063   |       62.50% |       +0.00% |       37.50% |            [0.0 - 0.0] |      2
2064   |       45.83% |      -16.67% |       20.83% |            [0.0 - 0.0] |      2
2065   |       50.00% |       +4.17% |       16.67% |            [0.0 - 0.0] |      2
2066   |       41.67% |       -8.33% |        8.33% |            [0.0 - 0.0] |      2
2067   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2068   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2069   |       50.00% |       +8.33% |        0.00% |            [0.0 - 0.0] |      2
2070   |       41.67% |       -8.33% |        8.33% |            [0.0 - 0.0] |      2
2071   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2072   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2073   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2074   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2075   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2076   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2077   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2078   |       41.67% |       +0.00% |        8.33% |            [0.0 - 0.0] |      2
2079   |       50.00% |       +8.33% |        0.00% |            [0.0 - 0.0] |      2
2080   |       50.00% |       +0.00% |        0.00% |            [0.0 - 0.0] |      2
2081   |       75.00% |      +25.00% |       25.00% |            [0.0 - 0.0] |      2
2082   |       25.00% |      -50.00% |       25.00% |            [0.0 - 0.0] |      2
2083   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2084   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2085   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2086   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2087   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2088   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2089   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2090   |       25.00% |       +0.00% |       25.00% |            [0.0 - 0.0] |      2
2091   |       50.00% |      +25.00% |       50.00% |            [0.0 - 0.0] |      2
2092   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2093   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2094   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2095   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2096   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2097   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2098   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2099   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2100   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2101   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2102   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2103   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2104   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2105   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2106   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2107   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2108   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2109   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2110   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2111   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2112   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2113   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2114   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2115   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2116   |       50.00% |       +0.00% |       50.00% |            [0.0 - 0.0] |      2
2117   |        0.00% |      -50.00% |        0.00% |            [0.0 - 0.0] |      2
2118   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2119   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2120   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2121   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2122   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2123   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2124   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2
2125   |        0.00% |            - |        0.00% |            [0.0 - 0.0] |      2

══════════════════════════════════════════════════════════════════════════════════════════════════════════════
