Метрика,Среднее,95% ДИ (±),Диапазон (2.5-97.5%),Std_Dev,N_прогонов,Эталон,Отклонение,Валидность
prevalence_total_pct,0.513,0.01,[0.35 - 0.67],0.095,352,,,
m694v_homo_in_affected_pct,10.111,0.361,[3.85 - 17.65],3.452,352,11.12,-1.009, Bias
compound_in_affected_pct,55.102,0.82,[39.59 - 67.89],7.853,352,58.26,-3.158, Bias
hetero_in_affected_pct,30.342,0.798,[14.74 - 45.96],7.635,352,25.33,5.012, Bias
other_homo_in_affected_pct,1.284,0.15,[0.00 - 4.51],1.439,352,2.0,-0.716, Bias
prevented_births_total,4.67,0.412,[0.00 - 10.00],3.94,352,,,
diagnosed_pct,79.67,3.172,[22.47 - 100.00],30.359,352,,,
