metric,parameter,param_value,mean_value,std_value,relative_change,sensitivity_index,baseline,n_runs
prevalence_pct,access_rate_children,0.3,0.5231352052068451,0.011654236743509266,0.05806595363494936,-0.11613190726989872,0.49442589416059746,2.0
prevalence_pct,access_rate_children,0.9,0.5654513480939798,0.003959662921304388,0.14365237495088015,0.28730474990176025,0.49442589416059746,2.0
prevalence_pct,calibration_factor,0.2,0.5292106683755375,0.03013520352971906,0.07035386824550381,-0.17859058862320198,0.49442589416059746,2.0
prevalence_pct,calibration_factor,0.5,0.54903061109649,0.03032056016378509,0.11044064961159991,0.21438479042251754,0.49442589416059746,2.0
prevalence_pct,ethnic_assortativity,0.5,0.5277798278197401,0.05799502182420048,0.06745992484024055,-0.1638312460405842,0.49442589416059746,2.0
prevalence_pct,ethnic_assortativity,0.95,0.5292824164952592,0.05068657018745114,0.07049898224654833,0.599241349095661,0.49442589416059746,2.0
m694v_homo_in_affected_pct,access_rate_children,0.3,13.108272026969548,0.9290112564936118,0.020684669737907294,-0.04136933947581459,12.842626538454336,2.0
m694v_homo_in_affected_pct,access_rate_children,0.9,10.111058786594459,2.4280607234056557,-0.21269541270867112,-0.42539082541734213,12.842626538454336,2.0
m694v_homo_in_affected_pct,calibration_factor,0.2,14.11017212452619,4.005019766678295,0.0986983139528722,-0.25054187388036786,12.842626538454336,2.0
m694v_homo_in_affected_pct,calibration_factor,0.5,13.481304826855222,4.758225205674926,0.04973112676667101,0.09653689313530257,12.842626538454336,2.0
m694v_homo_in_affected_pct,ethnic_assortativity,0.5,11.420079671355658,2.7397857045227565,-0.11076759593056634,0.2690070186885183,12.842626538454336,2.0
m694v_homo_in_affected_pct,ethnic_assortativity,0.95,11.507129877729527,0.7589599717992904,-0.10398937138956481,-0.8839096568113011,12.842626538454336,2.0
compound_in_affected_pct,access_rate_children,0.3,58.89270467398667,2.556451838912282,-0.03138693638836613,0.06277387277673226,60.801063795686886,2.0
compound_in_affected_pct,access_rate_children,0.9,61.68014022970463,2.5788317321352268,0.014458241009922929,0.02891648201984585,60.801063795686886,2.0
compound_in_affected_pct,calibration_factor,0.2,57.21587025414777,2.0233808036811323,-0.05896596733219406,0.14968284015095415,60.801063795686886,2.0
compound_in_affected_pct,calibration_factor,0.5,62.62848137455894,4.426875222440362,0.030055684305340804,0.05834338718095569,60.801063795686886,2.0
compound_in_affected_pct,ethnic_assortativity,0.5,62.5474604755384,1.1520303745523373,0.02872312704461925,-0.06975616567978961,60.801063795686886,2.0
compound_in_affected_pct,ethnic_assortativity,0.95,60.29520465674952,4.236891320331479,-0.00831990605686166,-0.07071920148332413,60.801063795686886,2.0
hetero_in_affected_pct,access_rate_children,0.3,25.601379983931693,0.4377714913692928,0.056039936135501116,-0.11207987227100223,24.24281422312306,2.0
hetero_in_affected_pct,access_rate_children,0.9,25.676948434188837,0.18314515170831153,0.05915708456396476,0.1183141691279295,24.24281422312306,2.0
hetero_in_affected_pct,calibration_factor,0.2,26.457155284906484,3.521693190337524,0.0913400994374392,-0.23186332934119183,24.24281422312306,2.0
hetero_in_affected_pct,calibration_factor,0.5,21.88820551441362,2.0620619492365306,-0.09712604679631572,-0.18853879672225995,24.24281422312306,2.0
hetero_in_affected_pct,ethnic_assortativity,0.5,24.66388646831819,1.6944859377369645,0.01736895070513337,-0.04218173742675247,24.24281422312306,2.0
hetero_in_affected_pct,ethnic_assortativity,0.95,26.469863562166992,2.82459421355432,0.09186430744165625,0.7808466132540783,24.24281422312306,2.0
final_population,access_rate_children,0.3,74647.5,327.3904396893715,0.04038221192061964,-0.08076442384123927,71750.07333333333,2.0
final_population,access_rate_children,0.9,75580.0,248.90158697766472,0.0533787143167612,0.10675742863352237,71750.07333333333,2.0
final_population,calibration_factor,0.2,74449.5,557.907250356186,0.03762263285956223,-0.09550360648965797,71750.07333333333,2.0
final_population,calibration_factor,0.5,75352.5,197.28279195104676,0.05020798585014222,0.09746256076792315,71750.07333333333,2.0
final_population,ethnic_assortativity,0.5,74508.0,893.7829714197961,0.03843796303669283,-0.09334933880339687,71750.07333333333,2.0
final_population,ethnic_assortativity,0.95,74741.5,424.9711754931151,0.04169231511122264,0.35438467844539256,71750.07333333333,2.0
avg_model_birth_rate,access_rate_children,0.3,16.253006993950876,0.05793332174698492,-0.21492579481444812,0.42985158962889625,20.702510522695732,2.0
avg_model_birth_rate,access_rate_children,0.9,16.34846049866411,0.01330229672209166,-0.21031507358773552,-0.4206301471754709,20.702510522695732,2.0
avg_model_birth_rate,calibration_factor,0.2,16.223172384674044,0.09658625088305825,-0.21636690550699555,0.5492390678254503,20.702510522695732,2.0
avg_model_birth_rate,calibration_factor,0.5,16.328810135669485,0.012301633630021543,-0.21126425136852123,-0.4101011938330119,20.702510522695732,2.0
avg_model_birth_rate,ethnic_assortativity,0.5,16.251344652482707,0.12402147555824711,-0.21500609142709065,0.5221576506086487,20.702510522695732,2.0
avg_model_birth_rate,ethnic_assortativity,0.95,16.244734050269138,0.06588757937266962,-0.215325405464213,-1.8302659464458109,20.702510522695732,2.0
avg_model_death_rate,access_rate_children,0.3,10.789136354365656,0.0011007066147974687,0.14762225845877175,-0.2952445169175435,9.401295831308813,2.0
avg_model_death_rate,access_rate_children,0.9,10.718703652450921,0.024960806321363486,0.14013045060818002,0.28026090121636,9.401295831308813,2.0
avg_model_death_rate,calibration_factor,0.2,10.797081541035393,0.0019872584288085447,0.1484673745802406,-0.37687872008830303,9.401295831308813,2.0
avg_model_death_rate,calibration_factor,0.5,10.742926998187972,0.045375278426875186,0.1427070470871867,0.2770195619927743,9.401295831308813,2.0
avg_model_death_rate,ethnic_assortativity,0.5,10.824224116142721,0.03864617035464254,0.1513544845695823,-0.36757517681184276,9.401295831308813,2.0
avg_model_death_rate,ethnic_assortativity,0.95,10.773708378529356,0.01726201539522823,0.14598121065928432,1.240840290603917,9.401295831308813,2.0
