,years,full_population,target_agents,total_affected,m694v_homozigotes,compound,n_allele,carrier_births,affected_births,normal_births
310,2015,79198,52756,303,28,188,79,13274,712,63689
311,2016,78897,52379,296,27,186,76,13428,718,64426
312,2017,78776,52101,297,28,187,75,13608,728,65191
313,2018,78550,51731,289,29,182,71,13744,736,65925
314,2019,78242,51415,287,28,182,70,13878,746,66653
315,2020,77757,51000,280,26,174,73,14036,756,67388
316,2021,77303,50577,282,27,174,74,14184,761,68158
317,2022,76968,50175,275,28,168,72,14291,772,68862
318,2023,76794,49791,268,28,164,69,14443,784,69569
319,2024,76395,49369,263,29,160,67,14602,792,70225
320,1950,50362,42273,203,31,121,44,201,14,1038
321,1975,69956,55129,285,28,193,59,5724,297,27900
322,2000,81312,60224,307,39,176,82,10779,552,53199
323,2012,78810,53833,284,39,157,76,12443,625,61076
324,2013,78731,53511,286,40,159,76,12591,628,61859
325,2014,78667,53178,289,40,163,76,12749,639,62674
326,2015,78424,52760,285,41,162,74,12907,644,63403
327,2016,78279,52403,285,41,159,77,13059,652,64170
328,2017,78091,52096,283,42,156,77,13201,658,64928
329,2018,77992,51729,277,43,151,75,13359,663,65687
330,2019,77724,51296,262,42,141,71,13498,671,66368
331,2020,77209,50942,256,41,137,70,13647,679,67114
332,2021,76649,50445,254,38,139,70,13793,687,67821
333,2022,76344,50019,250,38,134,71,13940,696,68488
334,2023,76144,49681,247,37,135,70,14073,699,69244
335,2024,75760,49233,245,36,133,71,14233,708,69878
336,1950,50271,42161,175,28,102,40,192,3,979
337,1975,69718,54973,271,35,170,60,5627,301,27772
338,2000,80565,59498,305,45,183,71,10627,546,52514
339,2012,77762,52665,264,37,169,54,12161,625,60142
340,2013,77602,52207,258,36,165,53,12308,634,60867
341,2014,77362,51837,253,37,159,53,12460,639,61648
342,2015,77196,51460,252,37,157,54,12586,651,62415
343,2016,76847,50996,257,39,158,55,12743,659,63097
344,2017,76591,50629,258,39,157,57,12910,668,63781
345,2018,76304,50218,263,40,159,58,13048,677,64439
346,2019,76076,49811,259,40,153,61,13190,681,65133
347,2020,75559,49391,253,36,151,61,13311,686,65845
348,2021,75045,48949,251,33,152,61,13458,692,66538
349,2022,74736,48527,249,31,150,63,13584,693,67238
350,2023,74629,48316,252,31,155,61,13726,695,68016
351,2024,74193,47850,241,30,149,58,13851,698,68661
352,1950,50254,42152,205,19,122,60,186,10,970
353,1975,69392,54592,285,38,171,68,5726,283,27337
354,2000,79726,58678,293,42,183,57,10715,542,51771
355,2012,77095,51921,283,39,162,73,12255,625,59342
356,2013,77012,51590,283,39,163,72,12414,635,60146
357,2014,76959,51319,284,40,164,72,12576,648,60941
358,2015,76767,50998,280,38,162,73,12740,655,61669
359,2016,76575,50660,274,37,157,74,12896,659,62428
360,2017,76363,50334,278,36,161,75,13044,668,63138
361,2018,76188,50034,282,36,167,73,13184,672,63900
362,2019,75936,49584,277,34,166,71,13308,678,64533
363,2020,75331,49167,276,35,168,68,13431,682,65244
364,2021,74768,48695,275,35,165,70,13547,692,65935
365,2022,74463,48346,275,35,163,72,13677,695,66571
366,2023,74299,48092,273,32,165,71,13805,704,67353
367,2024,73861,47625,271,31,164,71,13933,715,67963
368,1950,50269,42157,202,18,120,58,238,12,948
369,1975,69736,55161,286,34,172,70,5877,306,27633
370,2000,81169,59902,294,35,187,68,11043,583,52584
371,2012,78535,53113,296,38,183,70,12660,673,60336
372,2013,78375,52758,293,39,181,68,12820,683,61097
373,2014,78216,52405,292,40,177,70,12977,696,61860
374,2015,78042,52050,290,40,176,70,13126,706,62627
375,2016,77738,51725,288,41,174,69,13264,719,63364
376,2017,77459,51315,283,39,174,66,13416,724,64083
377,2018,77248,50982,280,38,174,64,13557,731,64804
378,2019,76998,50599,277,39,171,63,13706,740,65505
379,2020,76523,50188,270,40,165,61,13851,746,66231
380,2021,75990,49785,263,37,166,56,13983,757,66978
381,2022,75637,49371,263,38,163,58,14098,762,67659
382,2023,75490,49046,256,38,160,54,14244,771,68411
383,2024,75109,48614,249,36,155,54,14367,774,69057
384,1950,50362,42243,189,26,118,40,203,10,1040
385,1975,70205,55391,259,40,139,63,5868,299,28169
386,2000,81790,60607,289,40,155,78,11083,545,53310
387,2012,79242,53701,273,42,144,73,12666,614,61184
388,2013,79223,53417,275,41,146,73,12851,626,61977
389,2014,79170,53150,267,40,144,68,13026,631,62832
390,2015,78990,52831,260,40,141,65,13178,635,63585
391,2016,78850,52412,254,39,137,65,13350,647,64331
392,2017,78693,52104,260,40,141,67,13520,657,65081
393,2018,78459,51776,265,40,143,70,13665,667,65801
394,2019,78219,51444,264,41,143,69,13811,680,66531
395,2020,77648,50975,265,41,146,68,13965,691,67252
396,2021,77129,50520,262,40,143,69,14099,701,67950
397,2022,76723,50055,259,39,144,66,14234,710,68607
398,2023,76541,49744,260,36,145,70,14372,714,69369
399,2024,76080,49274,258,36,147,67,14493,726,70013
