Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2071;48651.0 ± 216.0;28276.7 ± 135.9;142.9 ± 4.3;17.6 ± 1.6;82.7 ± 4.0;39.8 ± 2.3;2.8 ± 0.5;336867 ± 58180;16690 ± 2876;1841745 ± 317840
2072;48041.4 ± 211.7;27926.0 ± 137.2;140.9 ± 4.4;17.6 ± 1.4;80.9 ± 3.9;39.7 ± 2.3;2.7 ± 0.6;337246 ± 58158;16710 ± 2875;1843842 ± 317708
2073;47455.3 ± 212.9;27521.0 ± 133.4;139.3 ± 4.4;17.2 ± 1.4;80.3 ± 3.9;39.2 ± 2.3;2.7 ± 0.6;337667 ± 58137;16730 ± 2873;1846162 ± 317583
2074;46879.4 ± 212.7;27194.1 ± 131.4;137.3 ± 4.5;17.1 ± 1.4;78.3 ± 3.8;39.3 ± 2.3;2.6 ± 0.6;338045 ± 58121;16749 ± 2873;1848228 ± 317490
2075;46302.5 ± 213.3;26878.1 ± 131.1;135.1 ± 4.4;16.8 ± 1.5;77.1 ± 3.7;38.7 ± 2.4;2.6 ± 0.6;338428 ± 58094;16766 ± 2872;1850345 ± 317338
2076;45735.9 ± 213.9;26578.3 ± 133.5;133.7 ± 4.3;16.4 ± 1.5;76.6 ± 3.5;38.1 ± 2.4;2.5 ± 0.6;338850 ± 58087;16789 ± 2872;1852635 ± 317289
2077;45188.1 ± 213.2;26303.1 ± 133.5;132.1 ± 4.5;16.3 ± 1.4;76.1 ± 3.4;37.3 ± 2.4;2.5 ± 0.5;339238 ± 58076;16807 ± 2871;1854774 ± 317209
2078;44670.7 ± 213.1;26044.9 ± 131.4;130.7 ± 4.7;16.0 ± 1.4;75.3 ± 3.5;37.0 ± 2.5;2.4 ± 0.5;339650 ± 58068;16827 ± 2871;1857023 ± 317162
2079;44178.5 ± 213.8;25792.0 ± 131.7;129.4 ± 4.7;15.7 ± 1.5;74.5 ± 3.2;36.7 ± 2.5;2.4 ± 0.5;340034 ± 58060;16846 ± 2870;1859162 ± 317121
2080;43719.1 ± 213.2;25536.0 ± 131.8;127.1 ± 4.8;15.4 ± 1.5;73.2 ± 3.3;36.0 ± 2.4;2.5 ± 0.5;340416 ± 58055;16864 ± 2870;1861269 ± 317094
2081;43250.5 ± 211.5;25294.0 ± 131.0;125.9 ± 4.8;15.2 ± 1.4;73.0 ± 3.4;35.3 ± 2.4;2.5 ± 0.5;340802 ± 58039;16882 ± 2869;1863391 ± 317003
2082;42796.2 ± 209.9;25053.8 ± 131.0;124.9 ± 4.8;15.1 ± 1.4;72.2 ± 3.4;35.1 ± 2.4;2.4 ± 0.5;341184 ± 58029;16900 ± 2869;1865488 ± 316956
2083;42360.6 ± 208.3;24806.0 ± 131.9;123.4 ± 4.8;14.9 ± 1.4;71.2 ± 3.2;34.9 ± 2.4;2.4 ± 0.5;341527 ± 58020;16915 ± 2869;1867401 ± 316896
2084;41961.3 ± 204.5;24567.6 ± 131.1;122.1 ± 5.1;14.8 ± 1.4;70.5 ± 3.2;34.6 ± 2.6;2.3 ± 0.5;341875 ± 58018;16932 ± 2868;1869290 ± 316880
2085;41586.5 ± 200.8;24327.9 ± 131.5;121.3 ± 5.1;14.5 ± 1.3;70.3 ± 3.2;34.4 ± 2.5;2.2 ± 0.5;342246 ± 58016;16950 ± 2868;1871295 ± 316864
2086;41230.9 ± 198.2;24081.6 ± 129.4;119.4 ± 5.4;14.1 ± 1.4;69.5 ± 3.3;33.7 ± 2.4;2.1 ± 0.5;342579 ± 58008;16965 ± 2868;1873117 ± 316834
2087;40883.6 ± 200.6;23827.9 ± 128.9;118.8 ± 5.4;14.1 ± 1.3;69.7 ± 3.5;32.9 ± 2.3;2.1 ± 0.5;342948 ± 58000;16983 ± 2868;1875150 ± 316782
2088;40532.8 ± 198.1;23577.6 ± 130.7;117.5 ± 5.5;14.0 ± 1.3;69.0 ± 3.5;32.6 ± 2.4;1.9 ± 0.5;343284 ± 58001;17000 ± 2868;1877026 ± 316792
2089;40148.9 ± 196.3;23315.8 ± 130.6;116.6 ± 5.4;13.8 ± 1.3;68.7 ± 3.5;32.3 ± 2.2;1.8 ± 0.5;343577 ± 57988;17014 ± 2868;1878628 ± 316713
2090;39760.4 ± 195.2;23064.1 ± 134.6;115.0 ± 5.2;13.6 ± 1.3;67.9 ± 3.5;31.7 ± 2.0;1.8 ± 0.5;343924 ± 57976;17032 ± 2867;1880540 ± 316641
2091;39367.0 ± 195.1;22800.4 ± 132.0;114.0 ± 5.3;13.4 ± 1.2;67.3 ± 3.5;31.5 ± 1.9;1.8 ± 0.4;344251 ± 57968;17048 ± 2867;1882341 ± 316594
2092;38984.7 ± 195.7;22542.7 ± 128.8;112.9 ± 5.4;13.1 ± 1.2;66.8 ± 3.5;31.2 ± 1.9;1.8 ± 0.4;344546 ± 57962;17062 ± 2866;1883942 ± 316562
2093;38577.1 ± 194.9;22271.7 ± 127.1;111.8 ± 5.2;13.0 ± 1.3;66.2 ± 3.4;30.7 ± 2.0;1.8 ± 0.4;344836 ± 57968;17075 ± 2866;1885538 ± 316591
2094;38166.1 ± 193.9;22005.8 ± 126.1;110.4 ± 5.1;12.6 ± 1.4;65.3 ± 3.3;30.4 ± 1.9;2.0 ± 0.5;345174 ± 57964;17091 ± 2867;1887394 ± 316564
2095;37742.7 ± 193.8;21753.6 ± 128.7;108.7 ± 5.0;12.5 ± 1.4;64.0 ± 3.4;30.2 ± 2.0;2.0 ± 0.4;345477 ± 57962;17105 ± 2867;1889078 ± 316559
2096;37324.1 ± 193.5;21500.3 ± 130.2;108.1 ± 4.6;12.7 ± 1.4;63.7 ± 3.4;29.8 ± 1.9;1.9 ± 0.5;345780 ± 57965;17120 ± 2867;1890804 ± 316563
2097;36893.1 ± 193.5;21254.8 ± 134.0;107.0 ± 4.7;12.6 ± 1.4;63.2 ± 3.4;29.4 ± 1.8;1.9 ± 0.4;346107 ± 57967;17136 ± 2867;1892579 ± 316562
2098;36458.2 ± 194.0;20998.1 ± 133.4;106.1 ± 4.8;12.4 ± 1.3;63.3 ± 3.6;28.5 ± 1.8;1.8 ± 0.4;346413 ± 57962;17153 ± 2867;1894264 ± 316524
2099;36017.5 ± 189.7;20744.9 ± 130.2;104.5 ± 4.6;12.5 ± 1.2;62.3 ± 3.5;27.9 ± 1.8;1.8 ± 0.4;346675 ± 57962;17165 ± 2867;1895737 ± 316524
2100;35574.2 ± 191.6;20498.6 ± 130.7;102.7 ± 4.8;12.1 ± 1.2;61.3 ± 3.5;27.6 ± 1.7;1.8 ± 0.4;346992 ± 57963;17181 ± 2867;1897500 ± 316523
2101;35157.6 ± 189.5;20261.1 ± 129.9;101.1 ± 4.8;11.9 ± 1.1;60.4 ± 3.6;27.1 ± 1.7;1.8 ± 0.4;347279 ± 57957;17196 ± 2867;1899090 ± 316478
2102;34744.2 ± 188.1;20017.2 ± 128.2;100.0 ± 5.0;11.8 ± 1.1;60.0 ± 3.6;26.6 ± 1.7;1.6 ± 0.4;347556 ± 57957;17211 ± 2867;1900637 ± 316470
2103;34343.1 ± 185.6;19791.9 ± 126.0;99.2 ± 4.9;11.5 ± 1.1;60.1 ± 3.7;26.0 ± 1.6;1.6 ± 0.4;347809 ± 57955;17223 ± 2867;1902052 ± 316454
2104;33946.6 ± 181.7;19564.4 ± 125.7;97.8 ± 4.6;11.4 ± 1.1;58.8 ± 3.5;25.9 ± 1.5;1.7 ± 0.4;348071 ± 57955;17235 ± 2867;1903489 ± 316454
2105;33549.6 ± 183.0;19349.7 ± 122.6;96.6 ± 4.7;11.3 ± 1.1;58.0 ± 3.6;25.5 ± 1.6;1.7 ± 0.4;348329 ± 57951;17247 ± 2867;1904937 ± 316426
2106;33159.4 ± 184.2;19135.2 ± 126.2;95.4 ± 4.8;10.9 ± 1.2;57.6 ± 3.9;25.2 ± 1.3;1.7 ± 0.4;348570 ± 57946;17258 ± 2867;1906291 ± 316392
2107;32777.4 ± 182.6;18920.1 ± 124.7;94.6 ± 4.4;10.8 ± 1.1;57.1 ± 3.8;25.0 ± 1.3;1.7 ± 0.4;348873 ± 57956;17272 ± 2867;1907954 ± 316433
2108;32410.9 ± 183.0;18713.6 ± 125.4;93.8 ± 4.7;10.8 ± 1.1;56.7 ± 3.9;24.6 ± 1.3;1.7 ± 0.4;349120 ± 57959;17284 ± 2867;1909311 ± 316458
2109;32032.5 ± 183.4;18515.4 ± 123.8;92.4 ± 4.5;10.5 ± 1.2;55.8 ± 3.7;24.4 ± 1.4;1.7 ± 0.4;349403 ± 57965;17297 ± 2867;1910886 ± 316478
2110;31691.5 ± 179.2;18319.7 ± 120.8;90.9 ± 4.5;10.5 ± 1.2;54.9 ± 3.7;23.9 ± 1.5;1.6 ± 0.4;349671 ± 57983;17310 ± 2868;1912373 ± 316560
2111;31335.0 ± 175.3;18119.8 ± 120.9;89.7 ± 4.7;10.4 ± 1.2;54.0 ± 3.7;23.5 ± 1.4;1.7 ± 0.4;349957 ± 57989;17324 ± 2868;1913936 ± 316587
2112;30993.5 ± 174.0;17936.5 ± 119.2;88.7 ± 4.7;10.3 ± 1.1;53.5 ± 3.7;23.3 ± 1.4;1.7 ± 0.4;350208 ± 57991;17336 ± 2868;1915346 ± 316599
2113;30655.5 ± 172.4;17740.6 ± 118.2;88.6 ± 4.3;10.0 ± 1.2;53.4 ± 3.5;23.4 ± 1.4;1.7 ± 0.4;350501 ± 58008;17350 ± 2870;1916942 ± 316678
2114;30333.2 ± 168.9;17542.6 ± 117.5;87.3 ± 4.3;9.9 ± 1.2;52.7 ± 3.3;23.0 ± 1.5;1.7 ± 0.4;350738 ± 58007;17362 ± 2870;1918237 ± 316675
2115;30019.2 ± 170.6;17358.4 ± 116.1;86.5 ± 4.0;9.7 ± 1.2;51.7 ± 3.2;23.3 ± 1.5;1.8 ± 0.4;351011 ± 58023;17376 ± 2871;1919742 ± 316764
2116;29706.3 ± 174.2;17170.7 ± 118.5;86.0 ± 3.8;9.9 ± 1.2;51.5 ± 3.1;22.9 ± 1.6;1.7 ± 0.4;351266 ± 58036;17389 ± 2871;1921112 ± 316829
2117;29386.7 ± 174.9;16982.1 ± 119.7;85.0 ± 3.7;9.8 ± 1.2;51.0 ± 3.1;22.6 ± 1.6;1.7 ± 0.4;351517 ± 58037;17401 ± 2871;1922500 ± 316826
2118;29076.3 ± 177.2;16798.2 ± 121.5;83.7 ± 3.6;9.7 ± 1.2;50.1 ± 2.9;22.4 ± 1.6;1.6 ± 0.4;351765 ± 58045;17412 ± 2871;1923881 ± 316867
2119;28767.6 ± 179.6;16614.3 ± 120.2;83.0 ± 3.7;9.6 ± 1.2;49.5 ± 2.9;22.2 ± 1.6;1.7 ± 0.4;351984 ± 58059;17423 ± 2872;1925074 ± 316945
2120;28454.5 ± 175.4;16436.1 ± 120.0;81.8 ± 3.7;9.3 ± 1.2;49.0 ± 2.7;21.7 ± 1.7;1.7 ± 0.4;352209 ± 58058;17435 ± 2872;1926325 ± 316926
2121;28141.7 ± 175.7;16251.3 ± 120.2;81.1 ± 3.9;9.3 ± 1.2;48.5 ± 2.9;21.5 ± 1.5;1.7 ± 0.4;352449 ± 58075;17446 ± 2873;1927641 ± 317021
2122;27842.8 ± 177.3;16067.9 ± 120.3;80.1 ± 3.8;9.0 ± 1.2;48.2 ± 2.8;21.4 ± 1.7;1.6 ± 0.4;352672 ± 58083;17458 ± 2873;1928855 ± 317067
2123;27537.1 ± 178.1;15884.4 ± 123.2;79.2 ± 3.8;8.9 ± 1.2;47.7 ± 2.8;21.0 ± 1.6;1.5 ± 0.4;352865 ± 58087;17466 ± 2874;1929916 ± 317089
2124;27242.6 ± 175.8;15705.7 ± 120.3;78.2 ± 3.8;8.8 ± 1.3;46.9 ± 2.8;20.9 ± 1.7;1.6 ± 0.4;353113 ± 58099;17478 ± 2874;1931291 ± 317166
2125;26938.8 ± 176.7;15529.1 ± 120.3;77.1 ± 3.8;8.8 ± 1.2;46.1 ± 2.9;20.7 ± 1.7;1.5 ± 0.4;353343 ± 58113;17489 ± 2875;1932536 ± 317239
