Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1977;71919.5 ± 113.4;55749.6 ± 100.2;298.3 ± 7.8;29.5 ± 2.3;156.6 ± 5.9;69.9 ± 3.8;4.9 ± 0.8;276144 ± 64395;13706 ± 3182;1508996 ± 351515
1978;72586.3 ± 117.0;56093.6 ± 104.6;299.9 ± 7.7;29.3 ± 2.4;158.3 ± 5.8;70.3 ± 3.7;5.0 ± 0.8;277004 ± 64300;13748 ± 3177;1513678 ± 351005
1979;73235.3 ± 117.8;56451.9 ± 105.1;302.3 ± 7.3;29.6 ± 2.4;160.2 ± 6.1;70.4 ± 3.6;5.1 ± 0.8;277866 ± 64201;13792 ± 3172;1518394 ± 350485
1980;73873.1 ± 122.1;56793.3 ± 110.6;305.0 ± 7.7;30.1 ± 2.6;162.4 ± 6.1;70.7 ± 3.7;5.3 ± 0.8;278732 ± 64105;13834 ± 3168;1523128 ± 349977
1981;74485.1 ± 123.8;57167.8 ± 111.7;307.9 ± 7.6;30.6 ± 2.7;163.4 ± 6.1;72.1 ± 3.8;5.3 ± 0.7;279634 ± 64000;13878 ± 3162;1528065 ± 349417
1982;75104.3 ± 128.2;57550.8 ± 114.4;308.3 ± 7.8;31.5 ± 2.6;165.8 ± 6.0;72.6 ± 3.9;5.3 ± 0.7;280508 ± 63919;13921 ± 3158;1532856 ± 348988
1983;75764.8 ± 133.7;57981.2 ± 118.3;309.4 ± 7.6;31.9 ± 2.7;168.2 ± 5.7;73.7 ± 4.0;5.4 ± 0.8;281400 ± 63831;13967 ± 3154;1537689 ± 348508
1984;76462.5 ± 132.4;58464.2 ± 122.1;311.0 ± 7.0;32.4 ± 2.7;170.7 ± 5.5;74.9 ± 4.0;5.6 ± 0.7;282256 ± 63752;14011 ± 3149;1542358 ± 348078
1985;77164.9 ± 133.2;58882.5 ± 125.5;311.4 ± 6.8;32.8 ± 2.7;172.3 ± 5.5;75.8 ± 3.9;5.5 ± 0.7;283161 ± 63653;14055 ± 3144;1547256 ± 347552
1986;77859.8 ± 138.0;59309.4 ± 130.6;312.5 ± 6.9;33.5 ± 2.6;174.7 ± 5.5;76.9 ± 3.9;5.5 ± 0.7;284068 ± 63558;14100 ± 3139;1552176 ± 347062
1987;78539.5 ± 137.9;59742.2 ± 132.2;312.7 ± 7.2;34.0 ± 2.7;176.7 ± 5.6;77.2 ± 3.9;5.6 ± 0.7;284950 ± 63469;14144 ± 3134;1556995 ± 346600
1988;78701.4 ± 143.5;60026.0 ± 135.6;312.1 ± 7.4;34.4 ± 2.8;178.0 ± 6.0;78.2 ± 3.8;5.6 ± 0.7;285849 ± 63384;14188 ± 3128;1561884 ± 346122
