Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2036;7027.3 ± 51.1;4111.7 ± 43.0;20.7 ± 1.8;2.3 ± 0.4;13.7 ± 1.8;4.0 ± 0.7;0.7 ± 0.2;11761 ± 84;603 ± 2;65882 ± 488
2037;6954.7 ± 48.9;4043.3 ± 37.7;20.3 ± 1.4;2.7 ± 0.5;13.0 ± 1.6;4.0 ± 0.7;0.7 ± 0.2;11789 ± 84;604 ± 1;66050 ± 496
2038;6880.7 ± 51.8;3967.7 ± 39.4;20.3 ± 1.1;3.3 ± 0.4;12.3 ± 1.3;4.0 ± 0.7;0.7 ± 0.2;11806 ± 87;605 ± 1;66147 ± 511
2039;6798.3 ± 49.7;3893.7 ± 36.2;18.0 ± 1.1;3.0 ± 0.4;11.7 ± 1.2;2.7 ± 0.5;0.7 ± 0.2;11843 ± 84;606 ± 1;66342 ± 499
2040;6730.3 ± 51.7;3819.0 ± 39.7;17.3 ± 0.9;3.0 ± 0.4;11.0 ± 0.9;2.7 ± 0.5;0.7 ± 0.2;11864 ± 85;606 ± 2;66454 ± 501
2041;6660.0 ± 53.8;3757.0 ± 41.1;16.7 ± 1.3;3.0 ± 0.4;10.7 ± 1.2;2.3 ± 0.5;0.7 ± 0.2;11888 ± 85;606 ± 1;66586 ± 501
2042;6591.7 ± 58.3;3681.0 ± 53.3;16.0 ± 0.9;3.0 ± 0.4;9.7 ± 1.3;2.7 ± 0.5;0.7 ± 0.2;11918 ± 82;607 ± 2;66794 ± 471
2043;6529.0 ± 56.6;3631.3 ± 53.4;16.0 ± 1.1;3.0 ± 0.4;9.7 ± 1.2;2.7 ± 0.5;0.7 ± 0.2;11935 ± 81;607 ± 1;66919 ± 467
2044;6460.0 ± 55.8;3580.7 ± 50.0;14.7 ± 1.4;2.7 ± 0.5;9.0 ± 1.2;2.3 ± 0.5;0.7 ± 0.2;11961 ± 76;608 ± 1;67061 ± 455
2045;6387.0 ± 53.3;3526.3 ± 46.4;14.0 ± 0.9;2.3 ± 0.5;8.3 ± 1.0;2.7 ± 0.5;0.7 ± 0.2;11995 ± 73;608 ± 1;67233 ± 445
2046;6320.0 ± 55.4;3479.0 ± 46.8;13.3 ± 1.2;2.0 ± 0.4;7.7 ± 0.9;3.0 ± 0.6;0.7 ± 0.2;12017 ± 73;608 ± 1;67393 ± 451
2047;6250.0 ± 55.4;3446.3 ± 46.1;12.7 ± 0.5;2.0 ± 0.4;7.0 ± 0.6;3.0 ± 0.7;0.7 ± 0.2;12036 ± 80;609 ± 1;67489 ± 481
2048;6180.0 ± 56.6;3409.3 ± 51.2;12.0 ± 0.6;2.0 ± 0.4;6.7 ± 0.2;2.7 ± 0.5;0.7 ± 0.2;12052 ± 80;609 ± 1;67603 ± 481
2049;6116.3 ± 58.5;3392.3 ± 49.0;12.0 ± 0.6;2.3 ± 0.5;6.0 ± 0.4;3.0 ± 0.4;0.7 ± 0.2;12086 ± 78;609 ± 1;67799 ± 470
2050;6051.7 ± 61.5;3380.7 ± 48.5;13.0 ± 0.4;2.7 ± 0.4;6.7 ± 0.2;3.0 ± 0.4;0.7 ± 0.2;12105 ± 77;610 ± 1;67913 ± 470
2051;5982.3 ± 63.9;3371.3 ± 47.9;13.3 ± 0.4;2.3 ± 0.5;7.0 ± 0.4;3.3 ± 0.2;0.7 ± 0.2;12124 ± 74;610 ± 1;68027 ± 453
2052;5918.7 ± 60.6;3353.7 ± 50.0;13.0 ± 0.7;2.3 ± 0.5;6.7 ± 0.4;3.3 ± 0.5;0.7 ± 0.2;12146 ± 76;611 ± 1;68159 ± 465
2053;5853.3 ± 66.0;3333.7 ± 53.6;11.7 ± 0.7;2.3 ± 0.5;5.3 ± 0.2;3.3 ± 0.5;0.7 ± 0.2;12179 ± 76;611 ± 1;68348 ± 467
2054;5784.0 ± 64.0;3306.3 ± 49.6;11.3 ± 0.5;2.3 ± 0.5;5.3 ± 0.2;3.0 ± 0.4;0.7 ± 0.2;12207 ± 74;611 ± 1;68504 ± 457
2055;5729.7 ± 65.6;3287.0 ± 49.9;11.3 ± 0.2;2.3 ± 0.5;5.3 ± 0.4;3.0 ± 0.4;0.7 ± 0.2;12227 ± 72;612 ± 1;68689 ± 458
2056;5684.3 ± 66.1;3265.7 ± 51.0;11.0 ± 0.0;2.0 ± 0.4;5.3 ± 0.4;3.0 ± 0.4;0.7 ± 0.2;12253 ± 72;612 ± 1;68848 ± 448
2057;5621.3 ± 57.4;3239.0 ± 48.4;11.0 ± 0.0;2.0 ± 0.4;5.3 ± 0.4;3.0 ± 0.4;0.7 ± 0.2;12266 ± 73;613 ± 1;68923 ± 455
2058;5554.0 ± 55.8;3210.3 ± 48.0;10.7 ± 0.2;2.0 ± 0.4;5.3 ± 0.4;3.0 ± 0.4;0.3 ± 0.2;12290 ± 73;613 ± 1;69066 ± 460
2059;5493.7 ± 55.3;3177.3 ± 51.3;10.3 ± 0.4;2.0 ± 0.4;5.0 ± 0.4;3.0 ± 0.4;0.3 ± 0.2;12312 ± 72;614 ± 1;69190 ± 451
2060;5424.3 ± 58.4;3133.0 ± 52.8;10.3 ± 0.4;2.0 ± 0.4;5.0 ± 0.4;3.0 ± 0.4;0.3 ± 0.2;12329 ± 73;615 ± 1;69279 ± 466
2061;5360.3 ± 57.9;3096.0 ± 50.0;10.7 ± 0.2;2.3 ± 0.2;5.0 ± 0.4;3.0 ± 0.4;0.3 ± 0.2;12352 ± 72;615 ± 1;69426 ± 461
2062;5296.7 ± 66.4;3051.0 ± 51.9;10.7 ± 0.4;2.3 ± 0.2;5.0 ± 0.0;3.0 ± 0.4;0.3 ± 0.2;12375 ± 71;615 ± 1;69575 ± 458
2063;5227.3 ± 64.6;3012.3 ± 44.2;10.3 ± 0.5;2.3 ± 0.2;4.7 ± 0.2;3.0 ± 0.4;0.3 ± 0.2;12392 ± 71;615 ± 1;69674 ± 444
2064;5156.0 ± 67.4;2963.3 ± 39.8;10.0 ± 0.4;2.3 ± 0.2;4.3 ± 0.2;3.0 ± 0.4;0.3 ± 0.2;12400 ± 72;615 ± 1;69728 ± 445
2065;5099.0 ± 61.8;2928.0 ± 34.7;9.7 ± 0.5;2.3 ± 0.2;4.0 ± 0.4;3.0 ± 0.7;0.3 ± 0.2;12419 ± 73;616 ± 2;69839 ± 455
2066;5033.3 ± 61.7;2887.0 ± 37.6;9.7 ± 0.8;2.3 ± 0.2;4.0 ± 0.4;3.3 ± 0.7;0.0 ± 0.0;12434 ± 73;616 ± 2;69979 ± 453
2067;4983.0 ± 62.1;2849.0 ± 42.8;9.7 ± 0.8;2.3 ± 0.2;3.7 ± 0.2;3.7 ± 0.8;0.0 ± 0.0;12443 ± 72;617 ± 1;70054 ± 442
2068;4908.3 ± 64.5;2807.3 ± 43.4;9.0 ± 0.6;2.0 ± 0.0;3.3 ± 0.2;3.7 ± 0.8;0.0 ± 0.0;12466 ± 69;617 ± 1;70157 ± 435
2069;4845.7 ± 65.1;2771.0 ± 39.1;8.7 ± 0.8;1.7 ± 0.2;3.3 ± 0.2;3.7 ± 0.8;0.0 ± 0.0;12489 ± 71;617 ± 1;70292 ± 442
2070;4785.3 ± 65.0;2722.0 ± 39.4;8.3 ± 0.7;1.7 ± 0.2;3.3 ± 0.2;3.3 ± 0.7;0.0 ± 0.0;12500 ± 70;617 ± 2;70374 ± 440
2071;4718.3 ± 65.4;2682.0 ± 41.5;8.3 ± 0.7;1.7 ± 0.4;3.3 ± 0.2;3.3 ± 0.7;0.0 ± 0.0;12514 ± 70;618 ± 1;70472 ± 448
2072;4648.3 ± 60.9;2639.7 ± 42.7;8.3 ± 0.7;1.7 ± 0.4;3.3 ± 0.2;3.3 ± 0.7;0.0 ± 0.0;12532 ± 70;618 ± 1;70593 ± 451
2073;4584.0 ± 58.1;2594.0 ± 41.5;8.3 ± 0.7;1.7 ± 0.4;3.0 ± 0.0;3.7 ± 0.5;0.0 ± 0.0;12546 ± 70;618 ± 2;70687 ± 448
2074;4521.0 ± 61.3;2567.3 ± 39.4;8.0 ± 0.6;1.7 ± 0.4;2.7 ± 0.2;3.7 ± 0.5;0.0 ± 0.0;12559 ± 68;619 ± 2;70768 ± 452
2075;4468.7 ± 55.9;2538.3 ± 39.9;8.0 ± 0.6;1.7 ± 0.4;2.7 ± 0.2;3.7 ± 0.5;0.0 ± 0.0;12577 ± 67;619 ± 2;70877 ± 439
2076;4401.0 ± 56.5;2498.7 ± 39.0;8.0 ± 0.6;1.7 ± 0.4;2.7 ± 0.2;3.7 ± 0.5;0.0 ± 0.0;12585 ± 66;619 ± 2;70919 ± 441
2077;4342.3 ± 58.1;2469.3 ± 39.4;7.7 ± 0.5;1.3 ± 0.2;3.0 ± 0.4;3.3 ± 0.4;0.0 ± 0.0;12600 ± 65;619 ± 2;71031 ± 445
2078;4276.7 ± 61.9;2437.7 ± 43.6;7.7 ± 0.9;1.3 ± 0.2;2.7 ± 0.4;3.7 ± 0.5;0.0 ± 0.0;12620 ± 69;620 ± 2;71153 ± 449
2079;4230.7 ± 61.5;2420.3 ± 44.5;7.7 ± 0.9;1.3 ± 0.2;2.7 ± 0.4;3.7 ± 0.5;0.0 ± 0.0;12633 ± 68;620 ± 1;71282 ± 456
2080;4175.7 ± 60.5;2394.3 ± 46.3;7.0 ± 1.1;1.3 ± 0.2;2.0 ± 0.6;3.7 ± 0.5;0.0 ± 0.0;12652 ± 65;620 ± 1;71395 ± 446
2081;4126.0 ± 61.9;2363.3 ± 42.7;6.7 ± 0.9;1.7 ± 0.4;1.7 ± 0.4;3.3 ± 0.5;0.0 ± 0.0;12667 ± 66;620 ± 1;71481 ± 442
2082;4078.7 ± 68.5;2336.0 ± 44.4;6.7 ± 0.9;1.7 ± 0.4;1.7 ± 0.4;3.3 ± 0.5;0.0 ± 0.0;12685 ± 68;621 ± 2;71606 ± 459
2083;4042.7 ± 70.0;2306.0 ± 42.2;6.7 ± 1.3;1.3 ± 0.5;1.7 ± 0.4;3.7 ± 0.7;0.0 ± 0.0;12706 ± 65;622 ± 1;71709 ± 443
2084;4003.0 ± 73.8;2294.7 ± 44.5;6.3 ± 1.1;1.0 ± 0.6;2.0 ± 0.4;3.3 ± 0.8;0.0 ± 0.0;12721 ± 63;622 ± 1;71807 ± 419
2085;3960.3 ± 73.8;2262.0 ± 45.7;6.3 ± 1.1;1.0 ± 0.6;2.0 ± 0.4;3.3 ± 0.8;0.0 ± 0.0;12731 ± 61;623 ± 1;71884 ± 412
2086;3934.3 ± 72.0;2248.3 ± 46.2;5.7 ± 0.9;0.7 ± 0.4;1.7 ± 0.2;3.3 ± 0.8;0.0 ± 0.0;12742 ± 61;623 ± 1;71974 ± 416
2087;3894.7 ± 70.5;2220.3 ± 44.8;5.7 ± 0.9;0.7 ± 0.4;1.7 ± 0.2;3.3 ± 0.8;0.0 ± 0.0;12757 ± 62;623 ± 1;72060 ± 424
