Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1950;5077.3 ± 4.8;4258.7 ± 15.8;16.7 ± 2.0;1.7 ± 0.5;7.3 ± 1.6;4.7 ± 0.4;0.0 ± 0.0;7643 ± 41;382 ± 2;43218 ± 213
1951;5171.7 ± 8.0;4331.7 ± 17.6;17.3 ± 2.1;1.7 ± 0.5;7.3 ± 1.6;5.3 ± 0.2;0.0 ± 0.0;7701 ± 50;385 ± 3;43499 ± 239
1952;5263.3 ± 10.2;4392.3 ± 18.7;17.7 ± 2.0;1.3 ± 0.4;8.0 ± 1.8;5.3 ± 0.2;0.0 ± 0.0;7760 ± 56;390 ± 2;43840 ± 279
1953;5361.0 ± 12.0;4469.7 ± 20.5;18.7 ± 2.4;1.3 ± 0.4;8.7 ± 2.2;5.7 ± 0.2;0.0 ± 0.0;7831 ± 58;393 ± 3;44192 ± 292
1954;5456.0 ± 12.2;4549.7 ± 18.6;18.7 ± 2.0;1.0 ± 0.4;8.7 ± 2.2;5.7 ± 0.4;0.3 ± 0.2;7908 ± 75;397 ± 4;44595 ± 404
1955;5547.0 ± 9.7;4615.7 ± 16.7;19.0 ± 2.2;0.7 ± 0.4;9.7 ± 2.4;5.7 ± 0.4;0.3 ± 0.2;7954 ± 69;399 ± 4;44879 ± 390
1956;5639.7 ± 17.0;4687.7 ± 20.2;19.3 ± 2.1;1.0 ± 0.6;9.7 ± 2.4;5.7 ± 0.4;0.3 ± 0.2;8011 ± 61;403 ± 4;45173 ± 367
1957;5736.7 ± 20.4;4751.0 ± 24.4;18.7 ± 2.3;1.0 ± 0.6;9.3 ± 2.8;5.7 ± 0.4;0.3 ± 0.2;8094 ± 69;408 ± 5;45628 ± 407
1958;5838.0 ± 20.0;4818.3 ± 27.7;19.3 ± 2.1;1.0 ± 0.6;9.3 ± 2.8;6.0 ± 0.4;0.7 ± 0.4;8158 ± 69;412 ± 5;46025 ± 412
1959;5925.7 ± 18.9;4877.7 ± 25.5;19.0 ± 1.6;1.0 ± 0.6;9.0 ± 2.2;6.0 ± 0.4;0.7 ± 0.4;8220 ± 74;417 ± 6;46371 ± 433
1960;6019.3 ± 16.2;4943.7 ± 24.6;18.3 ± 1.2;1.0 ± 0.6;8.3 ± 1.8;6.0 ± 0.4;0.7 ± 0.4;8268 ± 76;421 ± 6;46661 ± 449
1961;6092.0 ± 17.7;4993.7 ± 27.7;18.0 ± 1.3;1.0 ± 0.6;8.0 ± 1.6;6.0 ± 0.7;0.7 ± 0.4;8332 ± 89;424 ± 6;46994 ± 500
1962;6167.7 ± 26.7;5032.3 ± 32.9;19.7 ± 1.7;1.3 ± 0.8;8.7 ± 2.3;6.7 ± 0.4;0.7 ± 0.4;8389 ± 96;428 ± 7;47329 ± 532
1963;6238.7 ± 21.0;5076.3 ± 24.7;19.7 ± 1.7;1.0 ± 0.6;9.0 ± 2.2;6.7 ± 0.4;0.7 ± 0.4;8450 ± 99;433 ± 6;47650 ± 532
1964;6317.3 ± 21.7;5120.3 ± 23.7;19.3 ± 1.8;1.0 ± 0.6;9.0 ± 2.2;6.3 ± 0.2;0.7 ± 0.4;8511 ± 102;438 ± 6;48002 ± 544
1965;6396.3 ± 20.5;5167.3 ± 23.8;19.7 ± 1.7;1.0 ± 0.6;9.0 ± 2.2;6.7 ± 0.4;0.7 ± 0.4;8559 ± 101;438 ± 6;48251 ± 527
1966;6461.7 ± 23.6;5199.0 ± 24.8;20.0 ± 2.2;1.3 ± 0.5;8.7 ± 2.0;6.7 ± 0.5;1.0 ± 0.4;8627 ± 104;441 ± 5;48596 ± 530
1967;6540.0 ± 30.0;5247.0 ± 30.4;20.7 ± 2.2;1.7 ± 0.5;9.0 ± 2.0;6.7 ± 0.5;1.0 ± 0.4;8688 ± 108;447 ± 5;48914 ± 555
1968;6614.3 ± 32.9;5284.7 ± 29.9;21.3 ± 2.0;1.7 ± 0.5;10.0 ± 2.0;6.3 ± 0.5;1.0 ± 0.4;8756 ± 117;450 ± 6;49287 ± 583
1969;6689.7 ± 35.8;5327.3 ± 35.4;21.7 ± 2.0;1.7 ± 0.5;10.3 ± 1.8;6.3 ± 0.7;1.0 ± 0.4;8813 ± 115;452 ± 6;49568 ± 567
1970;6761.7 ± 35.3;5352.3 ± 35.7;22.0 ± 2.8;2.0 ± 0.6;10.7 ± 2.2;6.0 ± 0.9;1.0 ± 0.4;8878 ± 112;457 ± 6;49915 ± 569
1971;6831.0 ± 34.8;5381.7 ± 32.3;23.0 ± 3.1;2.0 ± 0.6;11.3 ± 2.2;6.3 ± 1.0;1.0 ± 0.4;8943 ± 118;460 ± 5;50267 ± 601
1972;6912.3 ± 31.5;5427.0 ± 25.7;24.3 ± 2.7;2.0 ± 0.6;11.7 ± 2.0;7.3 ± 1.0;1.0 ± 0.4;9012 ± 114;461 ± 5;50578 ± 590
1973;6978.7 ± 35.1;5455.0 ± 29.7;25.3 ± 2.7;2.3 ± 0.7;11.7 ± 1.8;8.0 ± 0.9;1.0 ± 0.4;9072 ± 120;465 ± 5;50923 ± 613
1974;7047.7 ± 32.0;5482.0 ± 28.8;26.0 ± 2.8;2.3 ± 0.7;12.0 ± 2.0;8.3 ± 0.7;1.0 ± 0.4;9122 ± 119;467 ± 5;51124 ± 615
1975;7119.3 ± 38.3;5509.3 ± 35.3;26.3 ± 2.7;2.3 ± 0.7;12.3 ± 1.8;8.3 ± 0.7;1.0 ± 0.4;9172 ± 124;471 ± 6;51400 ± 653
1976;7191.0 ± 42.4;5558.0 ± 35.3;29.0 ± 2.8;2.7 ± 0.8;14.0 ± 2.1;9.0 ± 0.9;1.0 ± 0.4;9216 ± 121;472 ± 6;51646 ± 648
1977;7262.0 ± 38.4;5593.0 ± 33.9;30.3 ± 3.0;3.0 ± 0.6;14.3 ± 2.3;9.7 ± 0.8;1.0 ± 0.4;9278 ± 125;476 ± 7;51997 ± 684
1978;7340.7 ± 35.0;5637.3 ± 26.6;30.0 ± 2.8;3.3 ± 0.4;14.0 ± 2.1;9.3 ± 0.7;1.0 ± 0.4;9348 ± 129;482 ± 7;52361 ± 701
1979;7411.3 ± 32.1;5677.7 ± 27.0;32.0 ± 3.2;3.7 ± 0.5;15.3 ± 2.3;9.7 ± 0.5;1.0 ± 0.4;9402 ± 132;485 ± 8;52639 ± 721
1980;7480.0 ± 39.2;5719.0 ± 37.8;33.0 ± 3.5;4.0 ± 0.7;15.3 ± 2.5;10.3 ± 0.4;1.0 ± 0.4;9494 ± 125;489 ± 7;53147 ± 689
1981;7534.7 ± 36.9;5752.7 ± 36.6;32.7 ± 3.8;3.7 ± 0.7;15.0 ± 2.6;10.7 ± 0.5;1.0 ± 0.4;9545 ± 126;491 ± 8;53393 ± 691
1982;7594.7 ± 38.4;5796.3 ± 38.5;34.3 ± 3.0;4.0 ± 0.6;16.0 ± 2.3;11.3 ± 0.4;1.0 ± 0.4;9596 ± 130;493 ± 8;53662 ± 709
1983;7666.0 ± 35.1;5852.0 ± 34.2;35.7 ± 3.2;4.0 ± 0.6;17.3 ± 2.5;11.3 ± 0.4;1.0 ± 0.4;9656 ± 133;497 ± 9;53978 ± 713
1984;7733.7 ± 31.5;5901.3 ± 31.2;36.3 ± 3.3;4.0 ± 0.6;18.0 ± 2.6;11.3 ± 0.4;1.0 ± 0.4;9709 ± 132;500 ± 9;54282 ± 709
1985;7811.7 ± 24.2;5945.7 ± 21.6;36.3 ± 2.8;4.3 ± 0.5;18.3 ± 2.2;11.3 ± 0.2;1.0 ± 0.4;9741 ± 133;503 ± 9;54508 ± 717
1986;7874.0 ± 25.1;5987.3 ± 21.7;35.3 ± 2.5;4.3 ± 0.5;18.0 ± 2.3;10.7 ± 0.2;1.0 ± 0.4;9791 ± 129;506 ± 9;54755 ± 704
1987;7942.7 ± 30.5;6024.7 ± 27.6;35.3 ± 3.3;4.3 ± 0.5;17.7 ± 2.7;10.7 ± 0.2;1.3 ± 0.4;9847 ± 123;510 ± 9;55047 ± 689
1988;7952.3 ± 26.6;6055.3 ± 29.5;34.3 ± 3.0;4.7 ± 0.5;16.7 ± 2.2;10.3 ± 0.7;1.3 ± 0.4;9893 ± 118;513 ± 9;55341 ± 650
1989;8020.3 ± 33.4;6096.3 ± 32.9;33.7 ± 3.2;4.7 ± 0.5;16.3 ± 2.2;10.3 ± 0.7;1.0 ± 0.4;9954 ± 121;517 ± 10;55660 ± 684
1990;8090.0 ± 33.7;6144.0 ± 32.2;34.3 ± 3.3;4.7 ± 0.5;17.0 ± 2.3;10.7 ± 0.5;1.0 ± 0.4;10013 ± 124;521 ± 10;55991 ± 674
1991;8136.7 ± 38.1;6165.3 ± 36.2;34.3 ± 3.3;4.7 ± 0.5;17.0 ± 2.6;11.0 ± 0.4;1.0 ± 0.4;10049 ± 117;524 ± 9;56174 ± 635
1992;8186.0 ± 35.8;6190.0 ± 32.0;35.0 ± 3.1;4.7 ± 0.5;18.0 ± 2.6;11.0 ± 0.4;1.0 ± 0.4;10119 ± 108;529 ± 8;56554 ± 588
1993;8222.7 ± 32.1;6203.3 ± 31.4;36.3 ± 3.1;4.7 ± 0.5;19.7 ± 2.9;10.7 ± 0.2;1.0 ± 0.4;10167 ± 99;533 ± 7;56830 ± 561
1994;8251.0 ± 40.3;6214.3 ± 33.5;36.7 ± 3.0;4.7 ± 0.5;20.0 ± 3.1;10.7 ± 0.5;1.0 ± 0.4;10230 ± 90;537 ± 7;57197 ± 515
1995;8281.3 ± 39.0;6198.7 ± 36.8;37.3 ± 3.0;4.7 ± 0.5;20.3 ± 2.9;11.3 ± 0.5;1.0 ± 0.4;10278 ± 87;541 ± 6;57454 ± 510
1996;8303.7 ± 38.5;6185.7 ± 32.4;38.7 ± 3.4;5.3 ± 0.5;20.7 ± 3.0;11.7 ± 0.2;1.0 ± 0.4;10325 ± 82;545 ± 6;57733 ± 477
1997;8300.7 ± 37.4;6160.3 ± 30.2;39.0 ± 4.3;5.7 ± 0.4;20.0 ± 3.4;12.3 ± 0.4;1.0 ± 0.4;10384 ± 90;547 ± 6;58061 ± 520
1998;8311.7 ± 37.2;6136.3 ± 32.9;39.3 ± 3.9;5.7 ± 0.4;20.3 ± 3.1;12.3 ± 0.4;1.0 ± 0.4;10439 ± 87;551 ± 5;58359 ± 480
1999;8293.3 ± 41.7;6095.3 ± 40.1;39.7 ± 4.0;6.0 ± 0.4;20.3 ± 3.1;12.7 ± 0.2;0.7 ± 0.4;10473 ± 84;554 ± 4;58524 ± 476
2000;8274.7 ± 41.9;6043.3 ± 45.8;40.0 ± 3.8;6.0 ± 0.4;20.3 ± 3.1;13.0 ± 0.0;0.7 ± 0.4;10526 ± 79;556 ± 3;58893 ± 450
2001;8259.0 ± 41.6;5970.3 ± 47.1;39.3 ± 4.3;5.7 ± 0.5;20.3 ± 2.9;12.7 ± 0.5;0.7 ± 0.4;10565 ± 75;558 ± 3;59092 ± 444
2002;8238.3 ± 40.9;5905.7 ± 38.8;37.7 ± 4.8;5.3 ± 0.7;19.7 ± 3.4;12.3 ± 0.5;0.3 ± 0.2;10602 ± 79;560 ± 3;59299 ± 464
2003;8219.0 ± 40.8;5838.3 ± 39.6;39.3 ± 5.0;5.3 ± 0.7;21.0 ± 3.8;12.7 ± 0.4;0.3 ± 0.2;10632 ± 72;562 ± 3;59502 ± 418
2004;8197.7 ± 44.4;5764.7 ± 44.2;39.3 ± 5.0;5.3 ± 0.9;21.0 ± 3.6;12.7 ± 0.4;0.3 ± 0.2;10677 ± 75;564 ± 3;59724 ± 424
2005;8174.7 ± 48.3;5696.0 ± 42.4;40.3 ± 4.9;5.3 ± 0.9;21.7 ± 3.6;12.7 ± 0.5;0.7 ± 0.2;10710 ± 78;566 ± 2;59895 ± 418
2006;8153.7 ± 51.6;5636.0 ± 43.4;40.3 ± 5.2;5.3 ± 0.9;22.3 ± 4.0;12.0 ± 0.4;0.7 ± 0.2;10746 ± 83;567 ± 3;60093 ± 448
