,years_for_full,full_population_mean,target_agents_mean,total_affected_mean,m694v_homozigotes_mean,compound_mean,n_allele_mean,carrier_births_mean,affected_births_mean,normal_births_mean,full_population_ci_low,target_agents_ci_low,total_affected_ci_low,m694v_homozigotes_ci_low,compound_ci_low,n_allele_ci_low,carrier_births_ci_low,affected_births_ci_low,normal_births_ci_low,full_population_ci_high,target_agents_ci_high,total_affected_ci_high,m694v_homozigotes_ci_high,compound_ci_high,n_allele_ci_high,carrier_births_ci_high,affected_births_ci_high,normal_births_ci_high
60,2010,78731.48,54025.76,294.68,36.68,179.12,72.32,12224.28,638.64,58907.08,78450.13437127859,53828.10979043735,288.08192847568324,33.53845157499257,172.5994322046824,69.32664939574396,12125.675017393778,626.5652333896951,58670.721771768134,79012.8256287214,54223.41020956265,301.2780715243168,39.82154842500743,185.64056779531762,75.31335060425603,12322.884982606223,650.7147666103049,59143.43822823187
61,2011,78554.92,53545.56,291.36,36.48,176.48,71.68,12377.8,646.24,59631.36,78274.18142173265,53349.64965522525,284.8036315417756,33.37865481228978,170.11163856972087,68.64417152878055,12278.931452847732,633.7613606981103,59392.72318155121,78835.65857826735,53741.470344774745,297.91636845822444,39.58134518771021,182.8483614302791,74.71582847121947,12476.668547152267,658.7186393018898,59869.99681844879
62,2012,78434.0,53143.24,287.84,35.8,174.96,70.4,12534.6,654.6,60399.88,78149.65603278657,52942.16608846456,281.27406825906127,32.78474102825865,168.84882183535777,67.23352309340491,12433.600836755943,641.9654724926758,60153.69405663393,78718.34396721343,53344.313911535435,294.4059317409387,38.81525897174134,181.07117816464225,73.5664769065951,12635.599163244058,667.2345275073243,60646.06594336606
63,2013,78300.88,52758.52,285.96,36.32,173.28,69.8,12689.44,663.44,61162.28,78016.74578431247,52560.22488043497,279.529248263746,33.2989708420253,167.28833845192617,67.06300895142128,12588.774260072787,650.8165855480117,60914.4395559664,78585.01421568754,52956.81511956502,292.39075173625395,39.3410291579747,179.27166154807384,72.53699104857871,12790.105739927214,676.0634144519884,61410.1204440336
64,2014,78220.56,52468.88,283.4,36.12,171.84,68.56,12853.04,672.2,61983.52,77939.6112663508,52268.51394683636,277.0398075500815,32.92469901678522,166.14510653070082,65.71050780664343,12749.950926062815,659.5229761642044,61734.791131710364,78501.5087336492,52669.24605316363,289.76019244991846,39.315300983214776,177.5348934692992,71.40949219335657,12956.129073937187,684.8770238357957,62232.24886828963
65,2015,78058.48,52113.56,281.8,35.44,170.56,68.84,13006.04,679.64,62733.24,77774.30140040113,51916.46402424429,276.1487610797867,32.48895762596784,164.98624335897833,66.41381871520971,12902.434115727468,666.87395359975,62483.113964854725,78342.65859959886,52310.655975755704,287.4512389202133,38.39104237403215,176.13375664102168,71.26618128479029,13109.645884272533,692.4060464002499,62983.36603514527
66,2016,77824.52,51771.8,279.32,35.08,169.04,68.32,13161.48,687.68,63478.88,77540.69719841545,51575.020327404825,273.86040015141526,32.25796298630463,163.78871166030024,65.62136160752624,13055.752207775628,674.8519934060924,63228.39326986237,78108.34280158456,51968.57967259518,284.7795998485847,37.90203701369536,174.29128833969975,71.01863839247375,13267.207792224372,700.5080065939075,63729.366730137626
67,2017,77607.36,51409.76,278.64,35.32,167.56,68.8,13313.28,695.28,64219.32,77328.7650024677,51214.73834927332,273.04011386782435,32.70082586044125,162.32629840106767,66.20469552203728,13207.197967502629,682.3829021310994,63968.29029556145,77885.9549975323,51604.78165072668,284.2398861321756,37.93917413955875,172.79370159893233,71.39530447796271,13419.362032497373,708.1770978689005,64470.34970443855
68,2018,77375.92,51030.48,275.84,35.08,165.72,68.16,13458.52,703.32,64929.12,77092.40719307544,50833.173437607096,270.36054665500285,32.48983200544829,160.4285807726093,65.36816363421254,13351.924880283821,690.7196133985236,64672.15228113171,77659.43280692455,51227.78656239291,281.3194533449971,37.670167994551704,171.0114192273907,70.95183636578746,13565.11511971618,715.9203866014765,65186.08771886829
69,2019,77129.6,50636.0,271.64,34.04,163.2,67.6,13602.76,711.04,65625.28,76848.71328510827,50442.17307726049,266.1579765876701,31.662333379129866,157.91042030655237,64.81201912966868,13494.838116515572,698.2736526800602,65367.533031536535,77410.48671489174,50829.82692273951,277.1220234123299,36.417666620870136,168.4895796934476,70.3879808703313,13710.681883484429,723.8063473199397,65883.02696846347
70,2020,76609.76,50229.92,268.88,33.64,161.8,66.72,13747.72,717.88,66348.4,76326.70025261765,50036.490873976436,263.4964540458913,31.25587933191292,156.56884359502288,63.84491760581834,13639.987818326617,704.79620109805,66085.08992046637,76892.81974738234,50423.34912602356,274.2635459541087,36.024120668087086,167.03115640497714,69.59508239418166,13855.452181673381,730.96379890195,66611.71007953362
71,2021,76074.04,49773.96,265.24,33.04,159.4,66.2,13888.2,725.4,67030.92,75795.65972318446,49576.51371174952,259.5997842689013,30.493307001881327,154.20322715524335,63.12169743743948,13779.241979900515,712.1684272539757,66763.80905706758,76352.42027681552,49971.40628825048,270.8802157310987,35.58669299811867,164.59677284475666,69.27830256256053,13997.158020099487,738.6315727460243,67298.03094293241
72,2022,75744.6,49357.76,263.2,33.28,157.24,66.24,14025.76,732.12,67708.6,75461.07025426833,49160.92345142523,257.7295279911145,30.60088719162481,151.98408052826784,63.27769704002668,13915.200462415825,718.2994193426374,67436.65724562206,76028.12974573168,49554.59654857477,268.6704720088855,35.959112808375195,162.49591947173218,69.20230295997331,14136.319537584175,745.9405806573626,67980.54275437795
73,2023,75549.84,49040.64,261.2,33.12,155.84,65.92,14172.56,740.04,68441.08,75263.40216213002,48839.10895069487,255.46441796036936,30.60915916341424,150.63992631847074,63.004229620380464,14061.018773538988,725.9604862811245,68166.42548323714,75836.27783786997,49242.17104930513,266.9355820396306,35.630840836585755,161.04007368152926,68.83577037961955,14284.10122646101,754.1195137188754,68715.73451676287
74,2024,75115.44,48593.52,259.8,33.04,154.44,66.04,14305.72,747.72,69093.2,74825.95281975577,48393.07021706678,253.72610789251792,30.59070570163567,149.3956743007613,63.32537051760896,14192.387387699862,732.925994093102,68815.14712067426,75404.92718024424,48793.969782933214,265.8738921074821,35.48929429836433,159.4843256992387,68.75462948239105,14419.052612300136,762.5140059068981,69371.25287932574
