Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1950;30407.6 ± 13.2;25311.8 ± 21.3;118.0 ± 4.3;11.0 ± 1.3;52.2 ± 0.6;27.6 ± 2.7;1.4 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1951;30782.8 ± 16.3;25587.4 ± 26.3;120.8 ± 4.9;11.8 ± 1.0;53.4 ± 1.0;28.4 ± 3.0;1.4 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1952;31307.4 ± 27.8;25986.8 ± 33.7;123.4 ± 5.0;11.6 ± 1.0;55.6 ± 0.8;29.0 ± 3.2;1.4 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1953;31814.6 ± 35.3;26386.6 ± 40.7;124.8 ± 5.0;11.6 ± 0.6;56.0 ± 1.2;29.8 ± 2.9;1.6 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1954;32335.4 ± 44.0;26800.8 ± 49.5;125.8 ± 4.3;11.8 ± 0.5;57.2 ± 1.6;29.6 ± 2.6;1.6 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1955;32889.8 ± 43.6;27208.2 ± 51.0;129.0 ± 4.5;12.8 ± 0.5;59.0 ± 2.2;30.2 ± 2.9;1.6 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1956;33468.8 ± 45.3;27640.2 ± 56.9;132.6 ± 4.3;13.4 ± 0.9;61.0 ± 2.1;31.2 ± 2.5;1.6 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1957;34027.4 ± 45.1;28030.8 ± 53.5;136.4 ± 4.9;14.2 ± 1.1;62.6 ± 2.4;32.4 ± 2.4;1.8 ± 0.3;0 ± 0;0 ± 0;0 ± 0
1958;34577.8 ± 49.8;28420.0 ± 54.5;137.2 ± 6.0;14.2 ± 1.1;63.0 ± 3.0;32.8 ± 2.5;1.8 ± 0.3;0 ± 0;0 ± 0;0 ± 0
1959;35136.8 ± 58.5;28810.4 ± 58.1;140.0 ± 6.5;14.6 ± 1.4;65.4 ± 2.9;32.6 ± 2.9;2.0 ± 0.4;0 ± 0;0 ± 0;0 ± 0
1960;35612.4 ± 55.9;29139.6 ± 58.0;142.4 ± 6.7;14.6 ± 1.6;67.8 ± 3.1;32.6 ± 3.4;2.0 ± 0.4;0 ± 0;0 ± 0;0 ± 0
1961;36053.0 ± 50.7;29446.0 ± 57.1;145.8 ± 7.8;14.6 ± 1.6;70.4 ± 4.1;33.4 ± 3.6;2.0 ± 0.4;0 ± 0;0 ± 0;0 ± 0
1962;36500.6 ± 49.6;29732.8 ± 57.6;146.8 ± 6.9;14.6 ± 1.6;71.2 ± 4.2;33.8 ± 3.0;2.0 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1963;36951.2 ± 46.8;30024.6 ± 54.1;147.0 ± 6.5;14.4 ± 1.8;72.6 ± 3.7;33.0 ± 2.9;2.0 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1964;37412.2 ± 45.6;30305.4 ± 59.0;148.0 ± 6.8;15.0 ± 1.5;74.0 ± 4.1;32.4 ± 2.6;1.8 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1965;37863.8 ± 47.1;30578.6 ± 55.2;148.8 ± 6.8;14.6 ± 1.5;74.8 ± 4.2;33.0 ± 2.7;1.8 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1966;38313.0 ± 51.8;30845.8 ± 52.7;149.8 ± 6.2;14.6 ± 1.6;76.4 ± 3.7;32.6 ± 2.5;1.8 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1967;38764.0 ± 48.3;31117.8 ± 50.8;151.4 ± 6.6;14.8 ± 1.3;77.4 ± 3.9;33.0 ± 3.1;1.8 ± 0.5;0 ± 0;0 ± 0;0 ± 0
