Метрика,Среднее,95% ДИ (±),Диапазон (2.5-97.5%),Std_Dev,N_прогонов,Эталон,Отклонение,Валидность
prevalence_total_pct,0.35,0.024,[0.00 - 0.85],0.234,352,,,
m694v_homo_in_affected_pct,9.924,1.765,[0.00 - 50.00],16.895,352,11.12,-1.196,✅ OK
compound_in_affected_pct,36.121,3.495,[0.00 - 100.00],33.458,352,58.26,-22.139,⚠️ Bias
hetero_in_affected_pct,37.776,3.399,[0.00 - 100.00],32.541,352,25.33,12.446,⚠️ Bias
other_homo_in_affected_pct,0.0,0.0,[0.00 - 0.00],0.0,352,2.0,-2.0,⚠️ Bias
prevented_births_total,1.173,0.2,[0.00 - 5.00],1.917,352,,,
diagnosed_pct,64.752,4.607,[0.00 - 100.00],44.104,352,,,
