year,n_runs,total_population_median,total_population_ci_low,total_population_ci_high,total_population_q25,total_population_q75,total_affected_median,total_affected_ci_low,total_affected_ci_high,total_affected_q25,total_affected_q75,prevalence_total_pct_median,prevalence_total_pct_ci_low,prevalence_total_pct_ci_high,prevalence_total_pct_q25,prevalence_total_pct_q75,on_colchicine_median,on_colchicine_ci_low,on_colchicine_ci_high,on_colchicine_q25,on_colchicine_q75,diagnosed_median,diagnosed_ci_low,diagnosed_ci_high,diagnosed_q25,diagnosed_q75,undiagnosed_symptomatic_median,undiagnosed_symptomatic_ci_low,undiagnosed_symptomatic_ci_high,undiagnosed_symptomatic_q25,undiagnosed_symptomatic_q75,prevented_births_total_median,prevented_births_total_ci_low,prevented_births_total_ci_high,prevented_births_total_q25,prevented_births_total_q75,m694v_homo_in_affected_pct_median,m694v_homo_in_affected_pct_ci_low,m694v_homo_in_affected_pct_ci_high,m694v_homo_in_affected_pct_q25,m694v_homo_in_affected_pct_q75,compound_in_affected_pct_median,compound_in_affected_pct_ci_low,compound_in_affected_pct_ci_high,compound_in_affected_pct_q25,compound_in_affected_pct_q75,hetero_in_affected_pct_median,hetero_in_affected_pct_ci_low,hetero_in_affected_pct_ci_high,hetero_in_affected_pct_q25,hetero_in_affected_pct_q75,other_homo_in_affected_pct_median,other_homo_in_affected_pct_ci_low,other_homo_in_affected_pct_ci_high,other_homo_in_affected_pct_q25,other_homo_in_affected_pct_q75,m694v_homo_absolute_median,m694v_homo_absolute_ci_low,m694v_homo_absolute_ci_high,m694v_homo_absolute_q25,m694v_homo_absolute_q75,m694v_homo_prevalence_pct_median,m694v_homo_prevalence_pct_ci_low,m694v_homo_prevalence_pct_ci_high,m694v_homo_prevalence_pct_q25,m694v_homo_prevalence_pct_q75,total_carriers_absolute_median,total_carriers_absolute_ci_low,total_carriers_absolute_ci_high,total_carriers_absolute_q25,total_carriers_absolute_q75
1950,2,5058.5,5041.875,5075.125,5049.75,5067.25,17.0,14.15,19.85,15.5,18.5,0.4041303023024656,0.3347016676334491,0.47355893697148216,0.3675889156345622,0.44067168897036907,6.0,5.05,6.95,5.5,6.5,6.0,5.05,6.95,5.5,6.5,11.0,7.2,14.8,9.0,13.0,0.0,0.0,0.0,0.0,0.0,6.071428571428571,5.053571428571429,7.0892857142857135,5.535714285714286,6.607142857142857,55.714285714285715,40.785714285714285,70.64285714285714,47.85714285714286,63.57142857142857,21.07142857142857,7.8392857142857135,34.30357142857143,14.107142857142858,28.035714285714285,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.02375345292548034,0.02365161211186872,0.023855293739091957,0.023699852497263696,0.023807053353696983,4.0,1.15,6.85,2.5,5.5
1951,2,5111.0,5080.6,5141.4,5095.0,5127.0,17.0,14.15,19.85,15.5,18.5,0.4008514937220379,0.3319562707461395,0.4697467166979362,0.3645908500505124,0.4371121373935633,5.0,4.05,5.95,4.5,5.5,5.0,4.05,5.95,4.5,5.5,12.0,8.2,15.8,10.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,9.75,2.5,7.5,53.214285714285715,35.910714285714285,70.51785714285714,44.10714285714286,62.32142857142857,24.642857142857142,14.803571428571427,34.482142857142854,19.464285714285715,29.82142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.95,0.5,1.5,0.023668639053254437,0.001183431952662722,0.04615384615384615,0.011834319526627219,0.03550295857988166,4.5,2.125,6.875,3.25,5.75
1952,2,5192.0,5157.8,5226.2,5174.0,5210.0,16.0,13.15,18.85,14.5,17.5,0.3718064617964376,0.30466861820216845,0.43894430539070683,0.3364707546415591,0.40714216895131616,4.0,3.05,4.95,3.5,4.5,4.0,3.05,4.95,3.5,4.5,12.0,8.2,15.8,10.0,14.0,0.0,0.0,0.0,0.0,0.0,5.263157894736842,0.2631578947368421,10.26315789473684,2.631578947368421,7.894736842105262,53.03643724696356,37.65182186234817,68.42105263157895,44.939271255060724,61.13360323886639,23.481781376518217,15.789473684210527,31.17408906882591,19.4331983805668,27.530364372469634,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.95,0.5,1.5,0.02328830926874709,0.0011644154634373545,0.04541220307405683,0.011644154634373545,0.03493246390312064,4.0,2.1,5.9,3.0,5.0
1953,2,5275.5,5243.675,5307.325,5258.75,5292.25,17.0,14.15,19.85,15.5,18.5,0.3886602652034751,0.32350251486053955,0.45381801554641066,0.35436671239140377,0.42295381801554643,4.5,4.025,4.975,4.25,4.75,4.5,4.025,4.975,4.25,4.75,12.5,9.175,15.825,10.75,14.25,0.0,0.0,0.0,0.0,0.0,5.0,0.25,9.75,2.5,7.5,52.142857142857146,40.607142857142854,63.67857142857143,46.07142857142857,58.21428571428572,25.714285714285715,21.642857142857142,29.785714285714285,23.57142857142857,27.857142857142858,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.95,0.5,1.5,0.022862368541380886,0.0011431184270690442,0.044581618655692726,0.011431184270690443,0.03429355281207133,4.5,3.075,5.925,3.75,5.25
1954,2,5351.0,5320.6,5381.4,5335.0,5367.0,17.5,15.125,19.875,16.25,18.75,0.39532767024341414,0.34121912431975027,0.449436216167078,0.36684948817832785,0.42380585230850043,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.5,10.125,14.875,11.25,13.75,0.0,0.0,0.0,0.0,0.0,8.333333333333334,6.75,9.916666666666666,7.5,9.166666666666666,50.0,40.5,59.5,45.0,55.0,25.0,20.25,29.75,22.5,27.5,0.0,0.0,0.0,0.0,0.0,1.5,1.025,1.975,1.25,1.75,0.03389324525578739,0.02312484498329467,0.0446616455282801,0.028225666165001745,0.03956082434657302,4.5,3.075,5.925,3.75,5.25
1955,2,5446.0,5421.3,5470.7,5433.0,5459.0,17.5,15.125,19.875,16.25,18.75,0.3891757640146457,0.33732628764307,0.4410252403862215,0.3618865659243427,0.41646496210494877,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.5,10.125,14.875,11.25,13.75,0.0,0.0,0.0,0.0,0.0,8.333333333333334,6.75,9.916666666666666,7.5,9.166666666666666,46.66666666666667,40.333333333333336,53.0,43.333333333333336,50.0,25.0,20.25,29.75,22.5,27.5,3.3333333333333335,0.16666666666666669,6.5,1.6666666666666667,5.0,1.5,1.025,1.975,1.25,1.75,0.03334095360423059,0.02285821430970071,0.04382369289876046,0.027823722396583282,0.03885818481187789,4.5,3.075,5.925,3.75,5.25
1956,2,5529.5,5495.775,5563.225,5511.75,5547.25,18.0,15.15,20.85,16.5,19.5,0.39591620239351794,0.33318925634795826,0.4586431484390776,0.362902020264276,0.4289303845227599,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.0,10.15,15.85,11.5,14.5,0.0,0.0,0.0,0.0,0.0,8.095238095238095,6.738095238095238,9.452380952380953,7.380952380952381,8.80952380952381,48.095238095238095,43.11904761904761,53.07142857142858,45.476190476190474,50.714285714285715,24.285714285714285,20.214285714285715,28.357142857142854,22.142857142857142,26.428571428571427,3.3333333333333335,0.16666666666666669,6.5,1.6666666666666667,5.0,1.5,1.025,1.975,1.25,1.75,0.03299362158792979,0.02254257749461531,0.04344466568124427,0.027493072065132698,0.03849417111072689,4.5,3.075,5.925,3.75,5.25
1957,2,5621.5,5594.425,5648.575,5607.25,5635.75,19.5,17.125,21.875,18.25,20.75,0.422853476599405,0.37070977339706984,0.4749971798017401,0.3954094222823865,0.45029753091642344,5.5,5.025,5.975,5.25,5.75,5.5,5.025,5.975,5.25,5.75,14.0,12.1,15.9,13.0,15.0,0.0,0.0,0.0,0.0,0.0,9.759358288770052,6.07620320855615,13.442513368983956,7.8208556149732615,11.697860962566844,43.98395721925134,41.06283422459894,46.90508021390374,42.44652406417113,45.521390374331546,28.342245989304814,27.326203208556148,29.358288770053477,27.80748663101604,28.877005347593585,2.941176470588235,0.14705882352941177,5.735294117647058,1.4705882352941175,4.411764705882352,2.0,1.05,2.95,1.5,2.5,0.043395800724790955,0.02273256059901011,0.06405904085057179,0.0325204111849063,0.05427119026467561,5.5,5.025,5.975,5.25,5.75
1958,2,5720.0,5688.65,5751.35,5703.5,5736.5,21.0,18.15,23.85,19.5,22.5,0.44932306420741575,0.3875387407423947,0.5111073876724368,0.41680499922582576,0.4818411291890058,5.5,5.025,5.975,5.25,5.75,5.5,5.025,5.975,5.25,5.75,15.5,13.125,17.875,14.25,16.75,0.0,0.0,0.0,0.0,0.0,9.027777777777779,5.729166666666666,12.32638888888889,7.291666666666666,10.76388888888889,47.916666666666664,45.93749999999999,49.895833333333336,46.875,48.95833333333333,26.38888888888889,25.069444444444443,27.708333333333336,25.694444444444443,27.083333333333336,2.7777777777777777,0.1388888888888889,5.416666666666666,1.3888888888888888,4.166666666666666,2.0,1.05,2.95,1.5,2.5,0.042822086698002124,0.022422914753345877,0.06322125864265836,0.03208568041134094,0.0535584929846633,5.5,5.025,5.975,5.25,5.75
1959,2,5816.0,5795.1,5836.9,5805.0,5827.0,20.5,18.125,22.875,19.25,21.75,0.43254064709480444,0.3823865260256263,0.4826947681639826,0.40614374126892117,0.4589375529206877,6.5,5.075,7.925,5.75,7.25,6.5,5.075,7.925,5.75,7.25,14.0,13.05,14.95,13.5,14.5,0.0,0.0,0.0,0.0,0.0,9.29951690821256,5.742753623188405,12.856280193236714,7.427536231884058,11.171497584541061,48.913043478260875,47.880434782608695,49.94565217391305,48.369565217391305,49.45652173913044,24.758454106280194,21.89009661835749,27.6268115942029,23.248792270531403,26.268115942028984,2.7777777777777777,0.1388888888888889,5.416666666666666,1.3888888888888888,4.166666666666666,2.0,1.05,2.95,1.5,2.5,0.042200770516310035,0.022152232618642506,0.06224930841397756,0.03164890846490607,0.052752632567713995,5.0,5.0,5.0,5.0,5.0
