==============================================================================================================
 Медианный анализ по годам
 Сценарий: scenario_3 | Дата: 2026-05-23 03:01
==============================================================================================================

══════════════════════════════════════════════════════════════════════════════════════════════════════════════
Динамика медианных показателей (Калибровка 1950-2125)
══════════════════════════════════════════════════════════════════════════════════════════════════════════════

🔹 Метрика: PREVALENCE TOTAL PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
2019   |        0.54% |       -0.02% |        0.07% |            [0.0 - 0.0] |      2
2020   |        0.56% |       +0.01% |        0.10% |            [0.0 - 0.0] |      2
2021   |        0.59% |       +0.04% |        0.10% |            [0.0 - 0.0] |      2
2022   |        0.58% |       -0.01% |        0.10% |            [0.0 - 0.0] |      2
2023   |        0.58% |       +0.01% |        0.10% |            [0.0 - 0.0] |      2
2024   |        0.57% |       -0.01% |        0.12% |            [0.0 - 0.0] |      2
2025   |        0.55% |       -0.01% |        0.12% |            [0.0 - 0.0] |      2
2026   |        0.54% |       -0.02% |        0.08% |            [0.0 - 0.0] |      2
2027   |        0.54% |       +0.01% |        0.08% |            [0.0 - 0.0] |      2
2028   |        0.57% |       +0.03% |        0.06% |            [0.0 - 0.0] |      2
2029   |        0.56% |       -0.01% |        0.07% |            [0.0 - 0.0] |      2
2030   |        0.54% |       -0.03% |        0.08% |            [0.0 - 0.0] |      2
2031   |        0.50% |       -0.04% |        0.08% |            [0.0 - 0.0] |      2
2032   |        0.51% |       +0.01% |        0.08% |            [0.0 - 0.0] |      2
2033   |        0.52% |       +0.01% |        0.09% |            [0.0 - 0.0] |      2
2034   |        0.44% |       -0.07% |        0.03% |            [0.0 - 0.0] |      2
2035   |        0.43% |       -0.02% |        0.05% |            [0.0 - 0.0] |      2
2036   |        0.42% |       -0.00% |        0.04% |            [0.0 - 0.0] |      2
2037   |        0.43% |       +0.01% |        0.07% |            [0.0 - 0.0] |      2
2038   |        0.44% |       +0.01% |        0.07% |            [0.0 - 0.0] |      2
2039   |        0.43% |       -0.01% |        0.08% |            [0.0 - 0.0] |      2
2040   |        0.44% |       +0.01% |        0.06% |            [0.0 - 0.0] |      2
2041   |        0.44% |       -0.00% |        0.07% |            [0.0 - 0.0] |      2
2042   |        0.43% |       -0.01% |        0.06% |            [0.0 - 0.0] |      2
2043   |        0.41% |       -0.02% |        0.06% |            [0.0 - 0.0] |      2
2044   |        0.41% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2045   |        0.38% |       -0.04% |        0.05% |            [0.0 - 0.0] |      2
2046   |        0.36% |       -0.02% |        0.05% |            [0.0 - 0.0] |      2
2047   |        0.36% |       +0.00% |        0.05% |            [0.0 - 0.0] |      2
2048   |        0.36% |       +0.00% |        0.02% |            [0.0 - 0.0] |      2
2049   |        0.34% |       -0.03% |        0.02% |            [0.0 - 0.0] |      2
2050   |        0.34% |       -0.00% |        0.01% |            [0.0 - 0.0] |      2
2051   |        0.31% |       -0.03% |        0.01% |            [0.0 - 0.0] |      2
2052   |        0.29% |       -0.01% |        0.02% |            [0.0 - 0.0] |      2
2053   |        0.25% |       -0.04% |        0.04% |            [0.0 - 0.0] |      2
2054   |        0.24% |       -0.01% |        0.05% |            [0.0 - 0.0] |      2
2055   |        0.22% |       -0.01% |        0.04% |            [0.0 - 0.0] |      2
2056   |        0.23% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2057   |        0.21% |       -0.01% |        0.02% |            [0.0 - 0.0] |      2
2058   |        0.21% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2059   |        0.22% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2060   |        0.23% |       +0.02% |        0.01% |            [0.0 - 0.0] |      2
2061   |        0.24% |       +0.00% |        0.02% |            [0.0 - 0.0] |      2
2062   |        0.22% |       -0.01% |        0.04% |            [0.0 - 0.0] |      2
2063   |        0.21% |       -0.01% |        0.02% |            [0.0 - 0.0] |      2
2064   |        0.23% |       +0.02% |        0.00% |            [0.0 - 0.0] |      2
2065   |        0.20% |       -0.03% |        0.03% |            [0.0 - 0.0] |      2
2066   |        0.20% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2067   |        0.21% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2068   |        0.21% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2069   |        0.21% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2070   |        0.22% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2071   |        0.22% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2072   |        0.20% |       -0.02% |        0.01% |            [0.0 - 0.0] |      2
2073   |        0.17% |       -0.03% |        0.02% |            [0.0 - 0.0] |      2
2074   |        0.17% |       +0.00% |        0.02% |            [0.0 - 0.0] |      2
2075   |        0.18% |       +0.00% |        0.02% |            [0.0 - 0.0] |      2
2076   |        0.18% |       +0.00% |        0.02% |            [0.0 - 0.0] |      2
2077   |        0.16% |       -0.02% |        0.01% |            [0.0 - 0.0] |      2
2078   |        0.16% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2
2079   |        0.16% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2
2080   |        0.19% |       +0.02% |        0.01% |            [0.0 - 0.0] |      2
2081   |        0.19% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2
2082   |        0.17% |       -0.02% |        0.03% |            [0.0 - 0.0] |      2
2083   |        0.17% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2084   |        0.17% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2085   |        0.19% |       +0.02% |        0.06% |            [0.0 - 0.0] |      2
2086   |        0.20% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2087   |        0.20% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2088   |        0.18% |       -0.02% |        0.08% |            [0.0 - 0.0] |      2
2089   |        0.18% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
2090   |        0.18% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
2091   |        0.16% |       -0.02% |        0.11% |            [0.0 - 0.0] |      2
2092   |        0.16% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2093   |        0.16% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2094   |        0.16% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2095   |        0.14% |       -0.02% |        0.09% |            [0.0 - 0.0] |      2
2096   |        0.15% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2097   |        0.17% |       +0.03% |        0.06% |            [0.0 - 0.0] |      2
2098   |        0.18% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2099   |        0.20% |       +0.03% |        0.09% |            [0.0 - 0.0] |      2
2100   |        0.23% |       +0.03% |        0.11% |            [0.0 - 0.0] |      2
2101   |        0.23% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2102   |        0.23% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2103   |        0.24% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2104   |        0.24% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2105   |        0.24% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2106   |        0.24% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2107   |        0.25% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2108   |        0.25% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2109   |        0.26% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2110   |        0.29% |       +0.03% |        0.14% |            [0.0 - 0.0] |      2
2111   |        0.29% |       +0.01% |        0.15% |            [0.0 - 0.0] |      2
2112   |        0.30% |       +0.00% |        0.15% |            [0.0 - 0.0] |      2
2113   |        0.30% |       +0.00% |        0.15% |            [0.0 - 0.0] |      2
2114   |        0.30% |       +0.00% |        0.15% |            [0.0 - 0.0] |      2
2115   |        0.31% |       +0.00% |        0.15% |            [0.0 - 0.0] |      2
2116   |        0.31% |       +0.00% |        0.15% |            [0.0 - 0.0] |      2
2117   |        0.31% |       +0.00% |        0.15% |            [0.0 - 0.0] |      2
2118   |        0.29% |       -0.03% |        0.12% |            [0.0 - 0.0] |      2
2119   |        0.29% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2120   |        0.30% |       +0.01% |        0.12% |            [0.0 - 0.0] |      2
2121   |        0.30% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2122   |        0.28% |       -0.03% |        0.09% |            [0.0 - 0.0] |      2
2123   |        0.28% |       +0.00% |        0.09% |            [0.0 - 0.0] |      2
2124   |        0.28% |       +0.00% |        0.09% |            [0.0 - 0.0] |      2
2125   |        0.30% |       +0.02% |        0.01% |            [0.0 - 0.0] |      2

🔹 Метрика: ON COLCHICINE
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
--------------------------------------------------------------------------------------------------------------
1950   |        6.000 |            - |        1.000 |            [0.0 - 0.0] |      2
1951   |        5.000 |       -1.00 |        1.000 |            [0.0 - 0.0] |      2
1952   |        4.000 |       -1.00 |        1.000 |            [0.0 - 0.0] |      2
1953   |        4.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
1954   |        5.000 |       +0.50 |        0.000 |            [0.0 - 0.0] |      2
1955   |        5.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
1956   |        5.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
1957   |        5.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
1958   |        5.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
1959   |        6.500 |       +1.00 |        1.500 |            [0.0 - 0.0] |      2
1960   |        6.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
1961   |        6.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
1962   |        6.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1963   |        6.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
1964   |        6.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
1965   |        6.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
1966   |        7.500 |       +1.00 |        3.500 |            [0.0 - 0.0] |      2
1967   |        7.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
1968   |        6.500 |       -1.00 |        2.500 |            [0.0 - 0.0] |      2
1969   |        5.500 |       -1.00 |        2.500 |            [0.0 - 0.0] |      2
1970   |        5.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
1971   |        5.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
1972   |        6.000 |       +0.50 |        3.000 |            [0.0 - 0.0] |      2
1973   |        7.000 |       +1.00 |        3.000 |            [0.0 - 0.0] |      2
1974   |        7.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
1975   |        7.500 |       +0.50 |        2.500 |            [0.0 - 0.0] |      2
1976   |        7.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
1977   |        7.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
1978   |        8.000 |       +0.50 |        2.000 |            [0.0 - 0.0] |      2
1979   |       10.500 |       +2.50 |        1.500 |            [0.0 - 0.0] |      2
1980   |       10.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
1981   |       11.000 |       +0.50 |        1.000 |            [0.0 - 0.0] |      2
1982   |       11.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1983   |       11.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1984   |       12.000 |       +1.00 |        1.000 |            [0.0 - 0.0] |      2
1985   |       12.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1986   |       12.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
1987   |       13.000 |       +1.00 |        1.000 |            [0.0 - 0.0] |      2
1988   |       13.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1989   |       12.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
1990   |       15.500 |       +3.00 |        0.500 |            [0.0 - 0.0] |      2
1991   |       16.000 |       +0.50 |        1.000 |            [0.0 - 0.0] |      2
1992   |       16.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
1993   |       19.000 |       +2.50 |        1.000 |            [0.0 - 0.0] |      2
1994   |       20.500 |       +1.50 |        1.500 |            [0.0 - 0.0] |      2
1995   |       22.000 |       +1.50 |        0.000 |            [0.0 - 0.0] |      2
1996   |       23.500 |       +1.50 |        1.500 |            [0.0 - 0.0] |      2
1997   |       25.000 |       +1.50 |        2.000 |            [0.0 - 0.0] |      2
1998   |       26.500 |       +1.50 |        3.500 |            [0.0 - 0.0] |      2
1999   |       27.500 |       +1.00 |        4.500 |            [0.0 - 0.0] |      2
2000   |       27.500 |       +0.00 |        5.500 |            [0.0 - 0.0] |      2
2001   |       29.000 |       +1.50 |        7.000 |            [0.0 - 0.0] |      2
2002   |       29.000 |       +0.00 |        6.000 |            [0.0 - 0.0] |      2
2003   |       30.000 |       +1.00 |        5.000 |            [0.0 - 0.0] |      2
2004   |       31.000 |       +1.00 |        4.000 |            [0.0 - 0.0] |      2
2005   |       28.500 |       -2.50 |        3.500 |            [0.0 - 0.0] |      2
2006   |       28.500 |       +0.00 |        4.500 |            [0.0 - 0.0] |      2
2007   |       29.500 |       +1.00 |        4.500 |            [0.0 - 0.0] |      2
2008   |       29.500 |       +0.00 |        5.500 |            [0.0 - 0.0] |      2
2009   |       29.000 |       -0.50 |        6.000 |            [0.0 - 0.0] |      2
2010   |       31.500 |       +2.50 |        6.500 |            [0.0 - 0.0] |      2
2011   |       32.000 |       +0.50 |        8.000 |            [0.0 - 0.0] |      2
2012   |       31.500 |       -0.50 |        6.500 |            [0.0 - 0.0] |      2
2013   |       30.000 |       -1.50 |        7.000 |            [0.0 - 0.0] |      2
2014   |       30.500 |       +0.50 |        7.500 |            [0.0 - 0.0] |      2
2015   |       30.500 |       +0.00 |        7.500 |            [0.0 - 0.0] |      2
2016   |       30.000 |       -0.50 |        6.000 |            [0.0 - 0.0] |      2
2017   |       28.000 |       -2.00 |        5.000 |            [0.0 - 0.0] |      2
2018   |       28.500 |       +0.50 |        5.500 |            [0.0 - 0.0] |      2
2019   |       27.000 |       -1.50 |        4.000 |            [0.0 - 0.0] |      2
2020   |       28.000 |       +1.00 |        5.000 |            [0.0 - 0.0] |      2
2021   |       29.000 |       +1.00 |        4.000 |            [0.0 - 0.0] |      2
2022   |       28.500 |       -0.50 |        4.500 |            [0.0 - 0.0] |      2
2023   |       28.500 |       +0.00 |        4.500 |            [0.0 - 0.0] |      2
2024   |       27.000 |       -1.50 |        5.000 |            [0.0 - 0.0] |      2
2025   |       26.500 |       -0.50 |        5.500 |            [0.0 - 0.0] |      2
2026   |       25.500 |       -1.00 |        3.500 |            [0.0 - 0.0] |      2
2027   |       25.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2028   |       26.500 |       +1.00 |        2.500 |            [0.0 - 0.0] |      2
2029   |       26.000 |       -0.50 |        3.000 |            [0.0 - 0.0] |      2
2030   |       24.500 |       -1.50 |        3.500 |            [0.0 - 0.0] |      2
2031   |       22.500 |       -2.00 |        3.500 |            [0.0 - 0.0] |      2
2032   |       22.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2033   |       22.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2034   |       19.000 |       -3.50 |        1.000 |            [0.0 - 0.0] |      2
2035   |       18.000 |       -1.00 |        2.000 |            [0.0 - 0.0] |      2
2036   |       17.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
2037   |       17.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2038   |       17.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2039   |       17.000 |       -0.50 |        3.000 |            [0.0 - 0.0] |      2
2040   |       17.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2041   |       16.500 |       -0.50 |        2.500 |            [0.0 - 0.0] |      2
2042   |       16.000 |       -0.50 |        2.000 |            [0.0 - 0.0] |      2
2043   |       15.000 |       -1.00 |        2.000 |            [0.0 - 0.0] |      2
2044   |       15.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2045   |       13.500 |       -1.50 |        1.500 |            [0.0 - 0.0] |      2
2046   |       12.500 |       -1.00 |        1.500 |            [0.0 - 0.0] |      2
2047   |       12.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2048   |       12.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2049   |       11.500 |       -1.00 |        0.500 |            [0.0 - 0.0] |      2
2050   |       11.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2051   |       10.500 |       -1.00 |        0.500 |            [0.0 - 0.0] |      2
2052   |       10.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2053   |        8.500 |       -1.50 |        1.500 |            [0.0 - 0.0] |      2
2054   |        8.000 |       -0.50 |        2.000 |            [0.0 - 0.0] |      2
2055   |        7.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
2056   |        7.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2057   |        7.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2058   |        7.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2059   |        7.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2060   |        7.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
2061   |        7.000 |       -0.50 |        0.000 |            [0.0 - 0.0] |      2
2062   |        7.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2063   |        6.500 |       -0.50 |        0.500 |            [0.0 - 0.0] |      2
2064   |        7.000 |       +0.50 |        0.000 |            [0.0 - 0.0] |      2
2065   |        6.000 |       -1.00 |        1.000 |            [0.0 - 0.0] |      2
2066   |        6.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2067   |        6.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2068   |        6.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2069   |        6.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2070   |        6.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2071   |        6.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2072   |        5.500 |       -0.50 |        0.500 |            [0.0 - 0.0] |      2
2073   |        4.500 |       -1.00 |        0.500 |            [0.0 - 0.0] |      2
2074   |        4.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2075   |        4.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2076   |        4.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2077   |        4.000 |       -0.50 |        0.000 |            [0.0 - 0.0] |      2
2078   |        4.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2079   |        4.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2080   |        4.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
2081   |        4.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2082   |        4.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2083   |        4.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2084   |        4.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2085   |        4.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
2086   |        4.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2087   |        4.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2088   |        4.000 |       -0.50 |        2.000 |            [0.0 - 0.0] |      2
2089   |        4.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2090   |        4.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2091   |        3.500 |       -0.50 |        2.500 |            [0.0 - 0.0] |      2
2092   |        3.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2093   |        3.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2094   |        3.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2095   |        3.000 |       -0.50 |        2.000 |            [0.0 - 0.0] |      2
2096   |        3.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2097   |        3.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
2098   |        3.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2099   |        4.000 |       +0.50 |        2.000 |            [0.0 - 0.0] |      2
2100   |        4.500 |       +0.50 |        2.500 |            [0.0 - 0.0] |      2
2101   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2102   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2103   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2104   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2105   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2106   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2107   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2108   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2109   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2110   |        5.000 |       +0.50 |        3.000 |            [0.0 - 0.0] |      2
2111   |        5.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2112   |        5.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2113   |        5.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2114   |        5.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2115   |        5.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2116   |        5.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2117   |        5.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
