==============================================================================================================
 Медианный анализ по годам
 Сценарий: scenario_1 | Дата: 2026-05-23 02:59
==============================================================================================================

══════════════════════════════════════════════════════════════════════════════════════════════════════════════
Динамика медианных показателей (Калибровка 1950-2125)
══════════════════════════════════════════════════════════════════════════════════════════════════════════════

🔹 Метрика: PREVALENCE TOTAL PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
2013   |        0.52% |       +0.02% |        0.11% |            [0.0 - 0.0] |      2
2014   |        0.49% |       -0.03% |        0.08% |            [0.0 - 0.0] |      2
2015   |        0.49% |       -0.00% |        0.07% |            [0.0 - 0.0] |      2
2016   |        0.51% |       +0.03% |        0.07% |            [0.0 - 0.0] |      2
2017   |        0.51% |       -0.01% |        0.10% |            [0.0 - 0.0] |      2
2018   |        0.50% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
2019   |        0.50% |       -0.01% |        0.08% |            [0.0 - 0.0] |      2
2020   |        0.51% |       +0.02% |        0.07% |            [0.0 - 0.0] |      2
2021   |        0.54% |       +0.03% |        0.07% |            [0.0 - 0.0] |      2
2022   |        0.51% |       -0.03% |        0.08% |            [0.0 - 0.0] |      2
2023   |        0.51% |       -0.01% |        0.10% |            [0.0 - 0.0] |      2
2024   |        0.51% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
2025   |        0.53% |       +0.02% |        0.11% |            [0.0 - 0.0] |      2
2026   |        0.49% |       -0.04% |        0.09% |            [0.0 - 0.0] |      2
2027   |        0.47% |       -0.02% |        0.09% |            [0.0 - 0.0] |      2
2028   |        0.49% |       +0.02% |        0.08% |            [0.0 - 0.0] |      2
2029   |        0.51% |       +0.02% |        0.06% |            [0.0 - 0.0] |      2
2030   |        0.49% |       -0.02% |        0.04% |            [0.0 - 0.0] |      2
2031   |        0.48% |       -0.01% |        0.08% |            [0.0 - 0.0] |      2
2032   |        0.50% |       +0.02% |        0.09% |            [0.0 - 0.0] |      2
2033   |        0.49% |       -0.01% |        0.08% |            [0.0 - 0.0] |      2
2034   |        0.48% |       -0.02% |        0.14% |            [0.0 - 0.0] |      2
2035   |        0.48% |       +0.01% |        0.11% |            [0.0 - 0.0] |      2
2036   |        0.48% |       -0.00% |        0.13% |            [0.0 - 0.0] |      2
2037   |        0.50% |       +0.02% |        0.12% |            [0.0 - 0.0] |      2
2038   |        0.47% |       -0.03% |        0.16% |            [0.0 - 0.0] |      2
2039   |        0.48% |       +0.01% |        0.17% |            [0.0 - 0.0] |      2
2040   |        0.49% |       +0.01% |        0.17% |            [0.0 - 0.0] |      2
2041   |        0.51% |       +0.02% |        0.16% |            [0.0 - 0.0] |      2
2042   |        0.51% |       -0.01% |        0.18% |            [0.0 - 0.0] |      2
2043   |        0.51% |       +0.01% |        0.18% |            [0.0 - 0.0] |      2
2044   |        0.50% |       -0.01% |        0.20% |            [0.0 - 0.0] |      2
2045   |        0.53% |       +0.02% |        0.18% |            [0.0 - 0.0] |      2
2046   |        0.48% |       -0.04% |        0.13% |            [0.0 - 0.0] |      2
2047   |        0.47% |       -0.01% |        0.12% |            [0.0 - 0.0] |      2
2048   |        0.44% |       -0.03% |        0.12% |            [0.0 - 0.0] |      2
2049   |        0.43% |       -0.01% |        0.10% |            [0.0 - 0.0] |      2
2050   |        0.45% |       +0.02% |        0.09% |            [0.0 - 0.0] |      2
2051   |        0.45% |       +0.00% |        0.12% |            [0.0 - 0.0] |      2
2052   |        0.42% |       -0.03% |        0.12% |            [0.0 - 0.0] |      2
2053   |        0.41% |       -0.02% |        0.14% |            [0.0 - 0.0] |      2
2054   |        0.37% |       -0.03% |        0.10% |            [0.0 - 0.0] |      2
2055   |        0.38% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
2056   |        0.36% |       -0.02% |        0.09% |            [0.0 - 0.0] |      2
2057   |        0.35% |       -0.01% |        0.10% |            [0.0 - 0.0] |      2
2058   |        0.33% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
2059   |        0.30% |       -0.03% |        0.09% |            [0.0 - 0.0] |      2
2060   |        0.32% |       +0.02% |        0.11% |            [0.0 - 0.0] |      2
2061   |        0.29% |       -0.03% |        0.11% |            [0.0 - 0.0] |      2
2062   |        0.29% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2063   |        0.32% |       +0.02% |        0.09% |            [0.0 - 0.0] |      2
2064   |        0.28% |       -0.03% |        0.06% |            [0.0 - 0.0] |      2
2065   |        0.29% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2066   |        0.29% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2067   |        0.28% |       -0.01% |        0.04% |            [0.0 - 0.0] |      2
2068   |        0.28% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2069   |        0.29% |       +0.01% |        0.08% |            [0.0 - 0.0] |      2
2070   |        0.27% |       -0.02% |        0.11% |            [0.0 - 0.0] |      2
2071   |        0.27% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2072   |        0.28% |       +0.01% |        0.11% |            [0.0 - 0.0] |      2
2073   |        0.28% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2074   |        0.26% |       -0.02% |        0.09% |            [0.0 - 0.0] |      2
2075   |        0.25% |       -0.02% |        0.11% |            [0.0 - 0.0] |      2
2076   |        0.25% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2077   |        0.23% |       -0.02% |        0.14% |            [0.0 - 0.0] |      2
2078   |        0.23% |       +0.00% |        0.14% |            [0.0 - 0.0] |      2
2079   |        0.26% |       +0.02% |        0.16% |            [0.0 - 0.0] |      2
2080   |        0.26% |       +0.00% |        0.16% |            [0.0 - 0.0] |      2
2081   |        0.26% |       +0.00% |        0.17% |            [0.0 - 0.0] |      2
2082   |        0.26% |       +0.00% |        0.17% |            [0.0 - 0.0] |      2
2083   |        0.27% |       +0.00% |        0.17% |            [0.0 - 0.0] |      2
2084   |        0.22% |       -0.05% |        0.12% |            [0.0 - 0.0] |      2
2085   |        0.23% |       +0.00% |        0.13% |            [0.0 - 0.0] |      2
2086   |        0.25% |       +0.03% |        0.10% |            [0.0 - 0.0] |      2
2087   |        0.26% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
2088   |        0.28% |       +0.03% |        0.13% |            [0.0 - 0.0] |      2
2089   |        0.26% |       -0.02% |        0.10% |            [0.0 - 0.0] |      2
2090   |        0.26% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
2091   |        0.26% |       +0.00% |        0.10% |            [0.0 - 0.0] |      2
2092   |        0.27% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2093   |        0.27% |       +0.00% |        0.11% |            [0.0 - 0.0] |      2
2094   |        0.28% |       +0.01% |        0.11% |            [0.0 - 0.0] |      2
2095   |        0.31% |       +0.03% |        0.08% |            [0.0 - 0.0] |      2
2096   |        0.31% |       +0.00% |        0.08% |            [0.0 - 0.0] |      2
2097   |        0.34% |       +0.03% |        0.05% |            [0.0 - 0.0] |      2
2098   |        0.32% |       -0.03% |        0.08% |            [0.0 - 0.0] |      2
2099   |        0.26% |       -0.05% |        0.02% |            [0.0 - 0.0] |      2
2100   |        0.30% |       +0.03% |        0.05% |            [0.0 - 0.0] |      2
2101   |        0.30% |       +0.00% |        0.05% |            [0.0 - 0.0] |      2
2102   |        0.30% |       +0.00% |        0.05% |            [0.0 - 0.0] |      2
2103   |        0.28% |       -0.03% |        0.09% |            [0.0 - 0.0] |      2
2104   |        0.25% |       -0.03% |        0.06% |            [0.0 - 0.0] |      2
2105   |        0.25% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2106   |        0.29% |       +0.04% |        0.03% |            [0.0 - 0.0] |      2
2107   |        0.29% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2108   |        0.26% |       -0.03% |        0.01% |            [0.0 - 0.0] |      2
2109   |        0.26% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2
2110   |        0.27% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2
2111   |        0.34% |       +0.07% |        0.01% |            [0.0 - 0.0] |      2
2112   |        0.34% |       +0.01% |        0.01% |            [0.0 - 0.0] |      2
2113   |        0.35% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2
2114   |        0.35% |       +0.01% |        0.08% |            [0.0 - 0.0] |      2
2115   |        0.32% |       -0.03% |        0.11% |            [0.0 - 0.0] |      2
2116   |        0.26% |       -0.07% |        0.12% |            [0.0 - 0.0] |      2
2117   |        0.18% |       -0.07% |        0.04% |            [0.0 - 0.0] |      2
2118   |        0.18% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2119   |        0.19% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2120   |        0.19% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2121   |        0.19% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2122   |        0.20% |       +0.00% |        0.04% |            [0.0 - 0.0] |      2
2123   |        0.20% |       +0.00% |        0.05% |            [0.0 - 0.0] |      2
2124   |        0.16% |       -0.04% |        0.01% |            [0.0 - 0.0] |      2
2125   |        0.16% |       +0.00% |        0.01% |            [0.0 - 0.0] |      2

🔹 Метрика: ON COLCHICINE
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
--------------------------------------------------------------------------------------------------------------
1950   |        4.000 |            - |        0.000 |            [0.0 - 0.0] |      2
1951   |        4.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1952   |        3.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
1953   |        4.000 |       +0.50 |        1.000 |            [0.0 - 0.0] |      2
1954   |        4.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
1955   |        4.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
1956   |        4.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
1957   |        5.000 |       +0.50 |        2.000 |            [0.0 - 0.0] |      2
1958   |        5.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
1959   |        6.500 |       +1.00 |        1.500 |            [0.0 - 0.0] |      2
1960   |        5.500 |       -1.00 |        0.500 |            [0.0 - 0.0] |      2
1961   |        6.000 |       +0.50 |        0.000 |            [0.0 - 0.0] |      2
1962   |        5.500 |       -0.50 |        0.500 |            [0.0 - 0.0] |      2
1963   |        5.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
1964   |        5.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
1965   |        5.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
1966   |        6.000 |       +0.50 |        1.000 |            [0.0 - 0.0] |      2
1967   |        6.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
1968   |        6.000 |       -0.50 |        2.000 |            [0.0 - 0.0] |      2
1969   |        6.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
1970   |        6.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
1971   |        6.500 |       +0.50 |        2.500 |            [0.0 - 0.0] |      2
1972   |        7.000 |       +0.50 |        3.000 |            [0.0 - 0.0] |      2
1973   |        7.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
1974   |        7.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
1975   |        7.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
1976   |        7.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
1977   |        7.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
1978   |        7.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
1979   |        6.500 |       -0.50 |        0.500 |            [0.0 - 0.0] |      2
1980   |        7.000 |       +0.50 |        0.000 |            [0.0 - 0.0] |      2
1981   |        7.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
1982   |        7.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
1983   |        7.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
1984   |        7.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
1985   |        7.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
1986   |        7.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1987   |        7.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
1988   |        7.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
1989   |        7.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
1990   |        8.000 |       +1.00 |        2.000 |            [0.0 - 0.0] |      2
1991   |        9.000 |       +1.00 |        0.000 |            [0.0 - 0.0] |      2
1992   |        9.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
1993   |       11.000 |       +2.00 |        1.000 |            [0.0 - 0.0] |      2
1994   |       10.000 |       -1.00 |        1.000 |            [0.0 - 0.0] |      2
1995   |       11.000 |       +1.00 |        0.000 |            [0.0 - 0.0] |      2
1996   |       11.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
1997   |       13.000 |       +1.50 |        2.000 |            [0.0 - 0.0] |      2
1998   |       14.500 |       +1.50 |        2.500 |            [0.0 - 0.0] |      2
1999   |       16.500 |       +2.00 |        3.500 |            [0.0 - 0.0] |      2
2000   |       15.500 |       -1.00 |        3.500 |            [0.0 - 0.0] |      2
2001   |       16.000 |       +0.50 |        3.000 |            [0.0 - 0.0] |      2
2002   |       15.000 |       -1.00 |        2.000 |            [0.0 - 0.0] |      2
2003   |       15.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
2004   |       15.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2005   |       14.500 |       -1.00 |        1.500 |            [0.0 - 0.0] |      2
2006   |       14.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2007   |       15.000 |       +1.00 |        1.000 |            [0.0 - 0.0] |      2
2008   |       16.500 |       +1.50 |        1.500 |            [0.0 - 0.0] |      2
2009   |       17.000 |       +0.50 |        2.000 |            [0.0 - 0.0] |      2
2010   |       16.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
2011   |       17.000 |       +0.50 |        0.000 |            [0.0 - 0.0] |      2
2012   |       17.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2013   |       17.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2014   |       17.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
2015   |       17.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2016   |       17.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2017   |       17.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2018   |       17.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2019   |       17.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2020   |       17.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2021   |       18.000 |       +1.00 |        1.000 |            [0.0 - 0.0] |      2
2022   |       17.000 |       -1.00 |        2.000 |            [0.0 - 0.0] |      2
2023   |       17.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2024   |       18.000 |       +1.00 |        1.000 |            [0.0 - 0.0] |      2
2025   |       18.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2026   |       16.500 |       -1.50 |        1.500 |            [0.0 - 0.0] |      2
2027   |       16.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2028   |       17.500 |       +1.00 |        1.500 |            [0.0 - 0.0] |      2
2029   |       18.500 |       +1.00 |        1.500 |            [0.0 - 0.0] |      2
2030   |       18.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2031   |       18.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2032   |       18.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2033   |       18.500 |       +0.50 |        2.500 |            [0.0 - 0.0] |      2
2034   |       17.500 |       -1.00 |        4.500 |            [0.0 - 0.0] |      2
2035   |       16.500 |       -1.00 |        3.500 |            [0.0 - 0.0] |      2
2036   |       15.500 |       -1.00 |        3.500 |            [0.0 - 0.0] |      2
2037   |       15.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2038   |       14.500 |       -1.00 |        4.500 |            [0.0 - 0.0] |      2
2039   |       15.000 |       +0.50 |        5.000 |            [0.0 - 0.0] |      2
2040   |       15.500 |       +0.50 |        5.500 |            [0.0 - 0.0] |      2
2041   |       15.500 |       +0.00 |        5.500 |            [0.0 - 0.0] |      2
2042   |       15.000 |       -0.50 |        6.000 |            [0.0 - 0.0] |      2
2043   |       15.500 |       +0.50 |        5.500 |            [0.0 - 0.0] |      2
2044   |       15.000 |       -0.50 |        6.000 |            [0.0 - 0.0] |      2
2045   |       15.000 |       +0.00 |        6.000 |            [0.0 - 0.0] |      2
2046   |       14.000 |       -1.00 |        4.000 |            [0.0 - 0.0] |      2
2047   |       13.500 |       -0.50 |        3.500 |            [0.0 - 0.0] |      2
2048   |       12.500 |       -1.00 |        3.500 |            [0.0 - 0.0] |      2
2049   |       12.000 |       -0.50 |        3.000 |            [0.0 - 0.0] |      2
2050   |       12.000 |       +0.00 |        3.000 |            [0.0 - 0.0] |      2
2051   |       12.500 |       +0.50 |        4.500 |            [0.0 - 0.0] |      2
2052   |       11.500 |       -1.00 |        4.500 |            [0.0 - 0.0] |      2
2053   |       11.000 |       -0.50 |        5.000 |            [0.0 - 0.0] |      2
2054   |       10.000 |       -1.00 |        4.000 |            [0.0 - 0.0] |      2
2055   |        9.500 |       -0.50 |        3.500 |            [0.0 - 0.0] |      2
2056   |        9.000 |       -0.50 |        3.000 |            [0.0 - 0.0] |      2
2057   |        8.500 |       -0.50 |        3.500 |            [0.0 - 0.0] |      2
2058   |        8.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2059   |        7.500 |       -1.00 |        2.500 |            [0.0 - 0.0] |      2
2060   |        7.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2061   |        6.500 |       -1.00 |        1.500 |            [0.0 - 0.0] |      2
2062   |        6.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2063   |        6.500 |       +0.00 |        1.500 |            [0.0 - 0.0] |      2
2064   |        5.500 |       -1.00 |        0.500 |            [0.0 - 0.0] |      2
2065   |        6.500 |       +1.00 |        0.500 |            [0.0 - 0.0] |      2
2066   |        6.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2067   |        6.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2068   |        6.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2069   |        6.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2070   |        5.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
2071   |        5.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2072   |        5.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2073   |        5.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2074   |        5.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2075   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2076   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2077   |        4.500 |       -0.50 |        2.500 |            [0.0 - 0.0] |      2
2078   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2079   |        5.500 |       +1.00 |        3.500 |            [0.0 - 0.0] |      2
2080   |        5.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2081   |        5.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2082   |        5.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2083   |        5.500 |       +0.00 |        3.500 |            [0.0 - 0.0] |      2
2084   |        4.500 |       -1.00 |        2.500 |            [0.0 - 0.0] |      2
2085   |        4.500 |       +0.00 |        2.500 |            [0.0 - 0.0] |      2
2086   |        5.000 |       +0.50 |        2.000 |            [0.0 - 0.0] |      2
2087   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2088   |        5.500 |       +0.50 |        2.500 |            [0.0 - 0.0] |      2
2089   |        5.000 |       -0.50 |        2.000 |            [0.0 - 0.0] |      2
2090   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2091   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2092   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2093   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2094   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2095   |        5.000 |       +0.00 |        2.000 |            [0.0 - 0.0] |      2
2096   |        5.500 |       +0.50 |        1.500 |            [0.0 - 0.0] |      2
2097   |        6.000 |       +0.50 |        1.000 |            [0.0 - 0.0] |      2
2098   |        5.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
2099   |        4.500 |       -1.00 |        0.500 |            [0.0 - 0.0] |      2
2100   |        5.000 |       +0.50 |        1.000 |            [0.0 - 0.0] |      2
2101   |        5.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2102   |        5.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2103   |        4.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
2104   |        4.000 |       -0.50 |        1.000 |            [0.0 - 0.0] |      2
2105   |        4.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2106   |        4.500 |       +0.50 |        0.500 |            [0.0 - 0.0] |      2
2107   |        4.500 |       +0.00 |        0.500 |            [0.0 - 0.0] |      2
2108   |        4.000 |       -0.50 |        0.000 |            [0.0 - 0.0] |      2
2109   |        4.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2110   |        4.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2111   |        5.000 |       +1.00 |        0.000 |            [0.0 - 0.0] |      2
2112   |        5.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2113   |        5.000 |       +0.00 |        0.000 |            [0.0 - 0.0] |      2
2114   |        5.000 |       +0.00 |        1.000 |            [0.0 - 0.0] |      2
2115   |        4.500 |       -0.50 |        1.500 |            [0.0 - 0.0] |      2
2116   |        3.500 |       -1.00 |        1.500 |            [0.0 - 0.0] |      2
2117   |        2.500 |       -1.00 |        0.500 |            [0.0 - 0.0] |      2
