Year;Real_Prevalence_%;Model_Prevalence_%;Absolute_Difference_%;Relative_Difference_%;Model_Q25_%;Model_Q75_%
2012;0,1753;0,5265708481188696;0,35127084811886955;200,38268574949774;0,5102042570455907;0,5419764081940934
2013;0,188;0,5164656586933007;0,32846565869330074;174,71577590069188;0,5065210380273786;0,5392913465458902
2014;0,1806;0,5159836843612842;0,3353836843612842;185,70525158432125;0,5002458485996261;0,5376354619795043
2015;0,1834;0,5118471486013357;0,3284471486013357;179,08786728535208;0,4998449927513246;0,5353856432282247
2016;0,1881;0,5077928771186359;0,31969287711863587;169,95899899980643;0,4964608453231627;0,5270272518803759
2017;0,2008;0,510194830929638;0,30939483092963804;154,08109110041735;0,4950586763738216;0,5304379899649013
2018;0,2061;0,5086004262184538;0,3025004262184538;146,77361776732354;0,48207921631082;0,5234039181815954
2019;0,2161;0,5028409587542968;0,28674095875429684;132,689013768763;0,4841757369243268;0,5183916039526624
2020;0,2136;0,5022001344198285;0,28860013441982846;135,11242248119308;0,4855832539568097;0,5222862622507091
2021;0,2301;0,5032848482251714;0,2731848482251714;118,72440166239522;0,4763863031954398;0,517895797470086
2022;0,2263;0,4964688610004903;0,2701688610004903;119,38526778634129;0,4799690394570696;0,5257769879750726
2023;0,2342;0,4947466827148899;0,2605466827148899;111,24965103112294;0,4758016207841187;0,5227402871765541
2024;0,2462;0,4887700466072768;0,2425700466072768;98,52560788272818;0,4731159615248743;0,5233147078886599
