Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1950;5084.3 ± 6.3;4270.0 ± 3.1;17.3 ± 1.4;1.3 ± 0.2;7.7 ± 0.5;5.0 ± 0.4;0.0 ± 0.0;107 ± 24;4 ± 1;448 ± 129
1951;5165.3 ± 11.5;4324.3 ± 10.1;17.7 ± 1.5;1.3 ± 0.2;8.0 ± 0.7;5.0 ± 0.4;0.0 ± 0.0;161 ± 28;8 ± 1;747 ± 150
1952;5245.7 ± 7.6;4372.7 ± 8.8;17.7 ± 1.5;1.0 ± 0.0;8.0 ± 0.7;5.3 ± 0.5;0.0 ± 0.0;216 ± 31;10 ± 1;1055 ± 165
1953;5343.3 ± 10.8;4446.7 ± 10.2;18.0 ± 1.6;1.0 ± 0.0;8.3 ± 0.7;5.3 ± 0.5;0.0 ± 0.0;294 ± 27;13 ± 1;1473 ± 143
1954;5443.0 ± 10.8;4521.0 ± 12.4;18.0 ± 1.6;1.0 ± 0.0;8.3 ± 0.7;5.3 ± 0.5;0.0 ± 0.0;345 ± 26;16 ± 1;1739 ± 147
1955;5534.3 ± 13.8;4586.0 ± 9.7;19.0 ± 0.9;0.7 ± 0.2;9.7 ± 0.2;5.3 ± 0.5;0.0 ± 0.0;406 ± 26;20 ± 2;2106 ± 155
1956;5624.0 ± 10.2;4645.3 ± 9.7;19.0 ± 1.2;0.7 ± 0.2;9.3 ± 0.2;5.7 ± 0.5;0.0 ± 0.0;492 ± 37;27 ± 3;2682 ± 243
1957;5712.3 ± 13.2;4700.3 ± 11.6;21.0 ± 0.6;0.7 ± 0.2;11.7 ± 0.4;5.7 ± 0.5;0.0 ± 0.0;590 ± 62;34 ± 4;3230 ± 356
1958;5819.7 ± 4.7;4783.7 ± 6.2;21.7 ± 0.8;0.7 ± 0.2;12.3 ± 0.2;5.7 ± 0.5;0.0 ± 0.0;636 ± 67;37 ± 3;3502 ± 358
1959;5908.3 ± 2.7;4839.3 ± 11.0;21.3 ± 0.7;0.7 ± 0.2;12.0 ± 0.4;5.7 ± 0.5;0.0 ± 0.0;679 ± 62;40 ± 2;3773 ± 330
1960;5998.0 ± 3.5;4898.3 ± 15.6;21.3 ± 1.1;1.0 ± 0.4;12.0 ± 0.6;5.3 ± 0.7;0.0 ± 0.0;722 ± 66;41 ± 2;4019 ± 349
1961;6081.7 ± 2.0;4950.7 ± 13.3;21.3 ± 1.1;1.0 ± 0.4;12.3 ± 0.7;5.0 ± 0.9;0.0 ± 0.0;771 ± 74;44 ± 3;4260 ± 405
1962;6163.0 ± 1.9;5000.0 ± 10.4;22.0 ± 0.9;1.3 ± 0.5;11.7 ± 0.9;6.3 ± 1.1;0.0 ± 0.0;807 ± 72;45 ± 3;4494 ± 386
1963;6236.7 ± 4.6;5038.3 ± 16.4;21.3 ± 1.0;1.3 ± 0.5;11.3 ± 0.9;6.0 ± 1.3;0.0 ± 0.0;892 ± 80;48 ± 3;4912 ± 417
1964;6298.7 ± 3.0;5066.3 ± 14.9;21.3 ± 1.0;1.3 ± 0.5;12.0 ± 0.7;5.3 ± 1.1;0.0 ± 0.0;942 ± 75;50 ± 3;5179 ± 407
1965;6374.3 ± 2.6;5093.3 ± 16.5;21.7 ± 0.2;1.0 ± 0.6;12.0 ± 1.1;5.7 ± 0.9;0.3 ± 0.2;993 ± 73;52 ± 3;5454 ± 384
1966;6454.3 ± 8.1;5145.7 ± 20.9;22.7 ± 0.5;1.3 ± 0.5;12.3 ± 0.7;6.0 ± 0.9;0.3 ± 0.2;1083 ± 78;55 ± 3;5907 ± 394
1967;6522.7 ± 12.3;5189.7 ± 20.9;23.0 ± 0.4;1.3 ± 0.5;12.3 ± 0.9;6.3 ± 0.4;0.3 ± 0.2;1159 ± 79;59 ± 3;6301 ± 389
1968;6602.7 ± 15.5;5242.7 ± 21.8;22.0 ± 0.6;1.3 ± 0.5;12.3 ± 1.1;5.3 ± 0.4;0.3 ± 0.2;1201 ± 80;60 ± 3;6533 ± 384
1969;6669.0 ± 16.2;5275.0 ± 24.1;22.3 ± 0.4;1.7 ± 0.4;12.3 ± 1.1;5.3 ± 0.5;0.3 ± 0.2;1243 ± 82;61 ± 3;6735 ± 399
1970;6732.7 ± 15.7;5296.3 ± 24.1;23.7 ± 0.5;1.7 ± 0.4;13.7 ± 1.2;5.3 ± 0.5;0.3 ± 0.2;1295 ± 73;64 ± 3;6975 ± 372
1971;6800.7 ± 16.7;5330.0 ± 25.3;23.7 ± 0.5;1.7 ± 0.4;14.0 ± 1.1;5.0 ± 0.4;0.3 ± 0.2;1357 ± 63;67 ± 2;7310 ± 309
1972;6867.0 ± 22.9;5370.0 ± 27.5;24.3 ± 0.9;1.7 ± 0.4;14.3 ± 1.3;5.3 ± 0.2;0.3 ± 0.2;1432 ± 63;69 ± 2;7672 ± 335
1973;6937.3 ± 25.1;5404.7 ± 29.9;24.0 ± 1.1;1.7 ± 0.4;14.0 ± 1.4;5.3 ± 0.2;0.3 ± 0.2;1470 ± 62;71 ± 2;7889 ± 333
1974;6999.0 ± 23.6;5445.7 ± 29.8;24.7 ± 1.3;1.7 ± 0.4;14.3 ± 1.6;5.7 ± 0.2;0.3 ± 0.2;1513 ± 56;74 ± 2;8133 ± 320
1975;7077.7 ± 27.5;5490.3 ± 31.8;26.3 ± 1.1;1.7 ± 0.4;15.0 ± 1.6;6.0 ± 0.4;1.0 ± 0.0;1553 ± 59;77 ± 3;8384 ± 341
1976;7138.3 ± 26.0;5530.0 ± 30.0;27.3 ± 0.9;1.7 ± 0.4;15.3 ± 1.8;6.7 ± 0.5;1.0 ± 0.0;1617 ± 54;78 ± 3;8763 ± 345
1977;7209.0 ± 29.1;5567.0 ± 29.8;29.0 ± 1.3;1.7 ± 0.4;16.0 ± 2.0;7.7 ± 0.4;1.0 ± 0.0;1684 ± 47;82 ± 3;9157 ± 303
1978;7287.3 ± 29.4;5606.7 ± 34.6;29.0 ± 0.9;1.7 ± 0.4;16.0 ± 1.6;7.7 ± 0.4;1.0 ± 0.0;1744 ± 37;86 ± 2;9556 ± 236
1979;7343.0 ± 30.1;5638.7 ± 34.1;29.3 ± 1.2;1.7 ± 0.4;15.7 ± 1.8;8.3 ± 0.5;1.0 ± 0.0;1800 ± 36;89 ± 1;9943 ± 235
1980;7408.7 ± 33.9;5676.0 ± 35.7;30.3 ± 1.1;1.7 ± 0.4;16.0 ± 1.8;8.7 ± 0.4;1.3 ± 0.2;1854 ± 37;90 ± 1;10280 ± 243
1981;7467.0 ± 27.7;5723.7 ± 33.0;30.7 ± 1.2;1.3 ± 0.2;16.7 ± 1.6;8.7 ± 0.4;1.3 ± 0.2;1904 ± 39;93 ± 1;10584 ± 262
1982;7526.0 ± 29.6;5765.0 ± 39.2;30.3 ± 1.4;1.7 ± 0.2;16.7 ± 1.6;8.7 ± 0.4;1.3 ± 0.2;1957 ± 34;95 ± 1;10972 ± 210
1983;7579.7 ± 31.8;5806.7 ± 38.2;31.7 ± 1.3;2.0 ± 0.4;17.7 ± 1.8;8.7 ± 0.4;1.3 ± 0.2;1991 ± 36;96 ± 2;11203 ± 227
1984;7647.7 ± 32.0;5856.7 ± 36.5;32.3 ± 1.4;2.0 ± 0.4;18.3 ± 1.8;8.7 ± 0.4;1.3 ± 0.2;2054 ± 44;99 ± 2;11543 ± 258
1985;7720.7 ± 35.5;5896.7 ± 38.7;32.7 ± 1.8;2.3 ± 0.4;19.0 ± 2.0;8.7 ± 0.4;1.3 ± 0.2;2102 ± 43;102 ± 3;11860 ± 244
1986;7794.7 ± 41.6;5947.7 ± 43.4;33.3 ± 1.7;2.7 ± 0.2;19.3 ± 1.8;8.7 ± 0.4;1.3 ± 0.2;2172 ± 41;106 ± 2;12231 ± 227
1987;7860.0 ± 44.3;5993.0 ± 50.2;33.3 ± 1.8;2.7 ± 0.2;18.7 ± 1.6;9.3 ± 0.4;1.3 ± 0.2;2215 ± 34;109 ± 2;12494 ± 194
1988;7874.3 ± 43.9;6021.0 ± 46.1;34.0 ± 1.9;2.7 ± 0.2;19.0 ± 1.6;9.7 ± 0.2;1.3 ± 0.2;2285 ± 28;114 ± 2;12856 ± 151
1989;7932.3 ± 51.3;6063.0 ± 50.4;34.7 ± 1.6;3.0 ± 0.4;19.0 ± 1.3;9.7 ± 0.2;1.7 ± 0.2;2349 ± 25;118 ± 3;13225 ± 145
1990;7993.3 ± 42.7;6089.0 ± 44.1;34.7 ± 1.6;3.0 ± 0.4;19.0 ± 1.3;9.7 ± 0.2;1.7 ± 0.2;2423 ± 20;125 ± 2;13646 ± 127
1991;8057.0 ± 48.4;6121.7 ± 48.1;34.3 ± 1.8;3.0 ± 0.4;19.3 ± 1.4;9.3 ± 0.4;1.7 ± 0.2;2477 ± 19;130 ± 1;13976 ± 116
1992;8110.0 ± 49.7;6150.7 ± 47.6;34.7 ± 1.4;3.3 ± 0.5;19.0 ± 1.4;9.7 ± 0.2;2.0 ± 0.0;2527 ± 19;133 ± 1;14276 ± 107
1993;8143.0 ± 50.6;6155.7 ± 40.5;34.7 ± 1.7;3.3 ± 0.5;19.7 ± 1.8;9.3 ± 0.4;2.0 ± 0.0;2567 ± 19;135 ± 1;14510 ± 117
1994;8172.0 ± 47.8;6148.0 ± 41.5;33.0 ± 1.6;3.3 ± 0.5;18.7 ± 1.8;8.7 ± 0.2;2.0 ± 0.0;2619 ± 12;138 ± 0;14836 ± 79
1995;8194.3 ± 53.6;6130.7 ± 49.4;32.3 ± 1.2;3.3 ± 0.5;18.3 ± 1.6;8.3 ± 0.2;2.3 ± 0.2;2679 ± 18;140 ± 1;15173 ± 81
1996;8206.3 ± 55.6;6108.0 ± 52.0;32.3 ± 1.8;3.0 ± 0.4;18.0 ± 2.0;8.7 ± 0.2;2.7 ± 0.2;2715 ± 21;142 ± 1;15369 ± 108
1997;8225.0 ± 57.4;6105.3 ± 52.9;32.0 ± 1.3;3.0 ± 0.4;17.7 ± 1.6;8.7 ± 0.2;2.7 ± 0.2;2775 ± 16;144 ± 1;15703 ± 85
1998;8234.0 ± 55.1;6079.3 ± 58.3;31.7 ± 1.4;3.0 ± 0.4;17.3 ± 1.6;8.7 ± 0.2;2.7 ± 0.2;2798 ± 13;146 ± 1;15840 ± 69
1999;8237.7 ± 56.6;6035.3 ± 60.9;30.3 ± 1.4;3.0 ± 0.4;17.0 ± 1.4;7.7 ± 0.2;2.7 ± 0.2;2843 ± 10;149 ± 1;16087 ± 69
2000;8228.3 ± 54.3;5979.7 ± 59.6;31.3 ± 1.5;3.3 ± 0.5;17.0 ± 1.4;8.3 ± 0.4;2.7 ± 0.2;2886 ± 17;152 ± 1;16355 ± 105
2001;8193.7 ± 49.9;5915.3 ± 59.8;32.7 ± 1.8;3.3 ± 0.5;16.7 ± 1.1;9.7 ± 0.5;3.0 ± 0.4;2914 ± 20;153 ± 1;16536 ± 120
2002;8174.0 ± 45.9;5858.3 ± 55.8;33.7 ± 1.7;3.7 ± 0.4;16.3 ± 0.9;10.7 ± 0.7;3.0 ± 0.4;2934 ± 19;154 ± 0;16657 ± 123
2003;8160.3 ± 43.4;5794.0 ± 57.4;32.7 ± 1.7;3.7 ± 0.4;15.3 ± 1.1;10.7 ± 0.7;3.0 ± 0.4;2968 ± 24;155 ± 1;16866 ± 158
2004;8141.0 ± 40.4;5724.0 ± 54.3;31.7 ± 1.4;3.7 ± 0.4;15.0 ± 0.9;10.3 ± 0.5;2.7 ± 0.4;2995 ± 25;156 ± 1;17052 ± 163
2005;8123.3 ± 46.9;5668.7 ± 57.6;29.7 ± 1.7;4.0 ± 0.4;13.3 ± 1.0;9.7 ± 0.7;2.7 ± 0.4;3021 ± 23;157 ± 1;17204 ± 149
2006;8091.0 ± 45.8;5601.3 ± 55.1;27.7 ± 2.0;3.7 ± 0.2;12.7 ± 1.2;9.0 ± 0.9;2.3 ± 0.2;3052 ± 27;159 ± 1;17418 ± 164
2007;8072.0 ± 43.1;5542.3 ± 54.5;27.0 ± 2.5;3.7 ± 0.2;11.7 ± 1.4;9.0 ± 0.9;2.7 ± 0.4;3089 ± 33;160 ± 2;17633 ± 197
2008;8049.3 ± 40.5;5473.3 ± 48.3;27.0 ± 2.3;3.3 ± 0.2;11.7 ± 1.5;9.7 ± 0.7;2.3 ± 0.2;3125 ± 34;163 ± 2;17837 ± 207
2009;8020.0 ± 44.3;5412.7 ± 47.3;28.0 ± 2.7;3.7 ± 0.2;12.3 ± 1.8;9.7 ± 0.7;2.3 ± 0.2;3149 ± 34;164 ± 2;18008 ± 199
2010;8004.7 ± 44.1;5350.0 ± 43.7;27.7 ± 2.6;3.7 ± 0.2;12.3 ± 1.8;9.7 ± 0.9;2.0 ± 0.4;3176 ± 35;165 ± 2;18155 ± 199
2011;7991.3 ± 40.9;5304.0 ± 41.4;27.3 ± 2.7;3.7 ± 0.2;12.3 ± 1.5;9.7 ± 0.9;1.7 ± 0.4;3212 ± 35;167 ± 2;18378 ± 207
