Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
2041;6647.7 ± 54.0;3749.3 ± 18.0;18.3 ± 3.4;2.0 ± 0.7;10.7 ± 1.3;5.3 ± 1.7;0.3 ± 0.2;4196 ± 17;218 ± 1;24155 ± 102
2042;6587.0 ± 52.8;3687.7 ± 15.9;18.0 ± 3.4;1.7 ± 0.5;10.7 ± 1.4;5.3 ± 1.7;0.3 ± 0.2;4221 ± 15;219 ± 1;24299 ± 81
2043;6521.0 ± 50.8;3643.3 ± 18.3;17.0 ± 3.1;1.7 ± 0.5;10.7 ± 1.4;4.7 ± 1.5;0.0 ± 0.0;4237 ± 15;220 ± 1;24406 ± 90
2044;6446.3 ± 53.0;3610.3 ± 20.7;16.3 ± 2.7;2.0 ± 0.6;10.3 ± 1.6;4.0 ± 1.2;0.0 ± 0.0;4257 ± 15;220 ± 1;24535 ± 94
2045;6376.7 ± 52.0;3559.7 ± 16.2;16.7 ± 2.3;2.0 ± 0.6;10.3 ± 1.4;4.3 ± 1.0;0.0 ± 0.0;4285 ± 12;221 ± 0;24699 ± 83
2046;6314.7 ± 49.0;3523.3 ± 17.2;15.7 ± 2.0;1.7 ± 0.5;10.0 ± 1.1;4.0 ± 0.9;0.0 ± 0.0;4313 ± 8;222 ± 0;24889 ± 55
2047;6248.7 ± 42.5;3477.7 ± 14.9;15.0 ± 2.1;1.7 ± 0.5;9.7 ± 1.3;3.7 ± 0.8;0.0 ± 0.0;4338 ± 5;222 ± 0;25058 ± 28
2048;6170.3 ± 43.6;3444.0 ± 13.7;15.0 ± 2.5;1.7 ± 0.5;9.3 ± 1.4;4.0 ± 0.9;0.0 ± 0.0;4366 ± 2;226 ± 0;25225 ± 10
2049;6114.0 ± 44.2;3422.7 ± 13.2;15.0 ± 2.7;1.7 ± 0.5;9.7 ± 1.6;3.7 ± 0.9;0.0 ± 0.0;4391 ± 0;226 ± 0;25338 ± 0
2050;6045.0 ± 44.8;3400.3 ± 13.6;14.7 ± 2.7;1.7 ± 0.5;9.3 ± 1.6;3.7 ± 0.9;0.0 ± 0.0;4422 ± 2;227 ± 0;25508 ± 16
