year,real_prev,model_prev,prevalence_pct_q25,prevalence_pct_q75,real_prev_per,turnover_rate,model_view
2012,0.001753,0.5452925409213591,0.5204903184327254,0.5745815264913323,0.1753,0.32148,0.21306
2013,0.00188,0.5419987972195783,0.5187723633489807,0.5770002440899732,0.188,0.34686,0.21177
2014,0.001806,0.5389402657366615,0.5192212124753236,0.570567698419677,0.1806,0.3351,0.21058
2015,0.001834,0.5373781741658459,0.5117432005543716,0.5703304851186777,0.1834,0.34129,0.20997
2016,0.001881,0.5382858063765528,0.5096770717648911,0.5710366703821931,0.1881,0.34944,0.21032
2017,0.002008,0.5328318929845226,0.5057342394475945,0.5614168680538584,0.2008,0.37685,0.20819
2018,0.002061,0.5334698320531464,0.5109145499230896,0.557684864208964,0.2061,0.38634,0.20844
2019,0.002161,0.5313631796187323,0.5178401190480725,0.5582799596112876,0.2161,0.40669,0.20762
2020,0.002136,0.5291673084254739,0.5073272622237285,0.5520409420629986,0.2136,0.40365,0.20676
2021,0.002301,0.5213444862403485,0.508985110372667,0.5463220040174228,0.2301,0.44136,0.2037
2022,0.002263,0.5177227108741784,0.5040336101851637,0.544801472180282,0.2263,0.43711,0.20229
2023,0.002342,0.513094197003036,0.5011654726938268,0.5409939885229174,0.2342,0.45645,0.20048
2024,0.002462,0.5163874949401059,0.4976299537220769,0.5378532294354685,0.2462,0.47677,0.20176
