Year;Real_Prevalence_%;Model_Prevalence_%;Absolute_Difference_%;Relative_Difference_%;Model_Q25_%;Model_Q75_%
2012;0,1753;0,5580844856820539;0,3827844856820539;218,35966097093777;0,5175497189587025;0,5724053772546732
2013;0,188;0,5495550840617061;0,36155508406170606;192,31653407537556;0,5107541901581119;0,5716153755375691
2014;0,1806;0,5481498144867893;0,36754981448678936;203,51595486533185;0,5055630539566458;0,5640624684602579
2015;0,1834;0,5507530262550213;0,3673530262550213;200,30154103327226;0,5073428679827641;0,5684488717338693
2016;0,1881;0,5472483311468287;0,3591483311468287;190,9347852986862;0,5012180353314186;0,5659321259010132
2017;0,2008;0,5453994727858642;0,3445994727858642;171,61328325989254;0,5086547389722151;0,5667229204627269
2018;0,2061;0,5393656589374803;0,33326565893748034;161,70095047912682;0,5007185568837784;0,5660420206163994
2019;0,2161;0,5348307907985277;0,31873079079852773;147,49226783828215;0,4937706440309207;0,5646246736812823
2020;0,2136;0,5407767783072996;0,32717677830729963;153,17264902027134;0,488653552054237;0,5622056284850292
2021;0,2301;0,5302981431669245;0,3001981431669245;130,46420824290504;0,4891916843391872;0,5624361964718568
2022;0,2263;0,5377645434445355;0,3114645434445355;137,63347036877397;0,4864804355404245;0,5590187505389709
2023;0,2342;0,5288122479236175;0,2946122479236175;125,79515282818852;0,4884774816433944;0,5587561201771403
2024;0,2462;0,534768898459574;0,288568898459574;117,20913828577335;0,4824404609155582;0,5566483907898031
