Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1950;30431.2 ± 9.0;25298.8 ± 53.1;128.8 ± 4.4;11.8 ± 1.0;57.6 ± 1.1;33.8 ± 2.5;2.0 ± 0.4;0 ± 0;0 ± 0;0 ± 0
1951;30840.0 ± 20.8;25604.8 ± 62.7;132.0 ± 4.9;12.2 ± 0.9;58.8 ± 0.9;35.0 ± 2.4;2.4 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1952;31362.6 ± 30.4;26000.4 ± 73.8;132.2 ± 5.2;11.8 ± 0.8;59.2 ± 0.9;35.0 ± 2.3;2.6 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1953;31870.6 ± 28.5;26412.0 ± 75.4;135.4 ± 6.5;12.4 ± 0.9;61.2 ± 1.5;35.6 ± 2.4;2.6 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1954;32414.6 ± 38.2;26843.8 ± 77.1;136.2 ± 6.4;12.0 ± 1.0;63.0 ± 1.5;35.0 ± 2.4;2.6 ± 0.2;0 ± 0;0 ± 0;0 ± 0
1955;32962.2 ± 40.2;27236.0 ± 78.7;138.4 ± 6.6;12.2 ± 1.1;64.2 ± 1.3;35.8 ± 2.7;2.8 ± 0.3;0 ± 0;0 ± 0;0 ± 0
1956;33520.2 ± 53.9;27645.6 ± 93.7;139.8 ± 7.1;11.6 ± 1.0;65.6 ± 1.7;36.2 ± 2.9;3.0 ± 0.4;0 ± 0;0 ± 0;0 ± 0
1957;34043.2 ± 52.4;28013.6 ± 78.8;141.0 ± 6.7;11.0 ± 0.9;66.8 ± 1.9;36.8 ± 2.4;3.0 ± 0.4;0 ± 0;0 ± 0;0 ± 0
1958;34614.8 ± 64.3;28433.8 ± 86.9;141.8 ± 6.0;12.0 ± 1.3;67.0 ± 1.6;36.6 ± 2.7;3.0 ± 0.4;0 ± 0;0 ± 0;0 ± 0
1959;35186.4 ± 63.5;28823.4 ± 84.8;141.8 ± 7.0;11.6 ± 1.0;67.6 ± 2.5;36.4 ± 2.8;3.2 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1960;35672.6 ± 72.0;29170.4 ± 89.8;143.8 ± 6.7;11.6 ± 0.9;68.2 ± 2.5;37.6 ± 2.5;3.4 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1961;36130.2 ± 71.1;29500.4 ± 94.4;148.2 ± 6.2;12.4 ± 0.7;71.0 ± 2.3;38.6 ± 2.7;3.4 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1962;36565.2 ± 78.7;29774.2 ± 104.9;150.4 ± 5.8;13.8 ± 0.6;72.4 ± 1.9;38.0 ± 2.5;3.4 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1963;37023.2 ± 84.1;30066.0 ± 104.4;154.0 ± 6.7;13.4 ± 0.6;76.8 ± 2.4;37.6 ± 2.7;3.4 ± 0.5;0 ± 0;0 ± 0;0 ± 0
1964;37471.4 ± 96.9;30326.6 ± 107.2;155.0 ± 6.5;13.8 ± 1.0;79.2 ± 2.3;36.2 ± 2.5;3.2 ± 0.6;0 ± 0;0 ± 0;0 ± 0
1965;37922.8 ± 105.7;30612.6 ± 111.5;157.2 ± 6.3;14.2 ± 1.1;80.4 ± 2.1;37.0 ± 2.6;3.0 ± 0.7;0 ± 0;0 ± 0;0 ± 0
1966;38354.8 ± 107.6;30876.8 ± 114.0;158.2 ± 5.9;14.0 ± 1.3;80.8 ± 2.4;37.8 ± 2.4;3.0 ± 0.6;0 ± 0;0 ± 0;0 ± 0
1967;38798.8 ± 125.1;31126.2 ± 127.0;159.0 ± 5.4;14.8 ± 1.4;81.0 ± 2.2;37.2 ± 1.9;3.4 ± 0.7;0 ± 0;0 ± 0;0 ± 0
1968;39246.2 ± 117.8;31372.4 ± 122.3;164.0 ± 6.2;16.8 ± 1.2;82.4 ± 2.5;38.8 ± 2.0;3.4 ± 0.7;0 ± 0;0 ± 0;0 ± 0
1969;39694.4 ± 122.3;31610.6 ± 122.9;167.8 ± 6.3;17.4 ± 1.4;85.0 ± 2.5;39.2 ± 2.0;3.6 ± 0.7;0 ± 0;0 ± 0;0 ± 0
1970;40157.8 ± 122.8;31847.0 ± 128.8;167.8 ± 5.6;16.8 ± 1.4;85.0 ± 1.9;40.0 ± 2.1;3.8 ± 0.7;0 ± 0;0 ± 0;0 ± 0
1971;40578.8 ± 130.3;32056.8 ± 133.1;170.2 ± 5.4;17.2 ± 1.2;86.0 ± 2.0;40.6 ± 1.7;4.2 ± 0.9;0 ± 0;0 ± 0;0 ± 0
1972;41012.6 ± 125.6;32281.6 ± 123.3;171.0 ± 5.1;17.0 ± 1.1;87.6 ± 1.7;39.8 ± 1.7;4.4 ± 0.9;0 ± 0;0 ± 0;0 ± 0
1973;41459.8 ± 139.6;32517.4 ± 134.8;170.8 ± 4.7;17.0 ± 0.9;88.2 ± 2.0;39.0 ± 1.7;4.4 ± 0.9;0 ± 0;0 ± 0;0 ± 0
1974;41885.2 ± 148.2;32748.8 ± 138.6;173.4 ± 5.1;17.6 ± 0.9;89.0 ± 1.5;40.2 ± 2.0;4.6 ± 1.0;0 ± 0;0 ± 0;0 ± 0
1975;42331.8 ± 139.5;32995.0 ± 128.1;174.8 ± 4.9;17.6 ± 1.1;89.6 ± 1.4;40.8 ± 1.9;5.0 ± 0.9;0 ± 0;0 ± 0;0 ± 0
1976;42748.6 ± 139.5;33214.2 ± 139.5;175.8 ± 4.0;17.8 ± 1.1;90.8 ± 1.1;40.4 ± 1.6;5.0 ± 0.9;0 ± 0;0 ± 0;0 ± 0
